"",BBK01.OEAA31U,BBK01.OEAA31U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:51,
2002-01,3.475,
2002-04,3.479,
2002-07,3.456,
2002-10,3.475,
2003-01,3.417,
2003-04,3.406,
2003-07,3.385,
2003-10,3.386,
2004-01,3.309,
2004-04,3.287,
2004-07,3.255,
2004-10,3.287,
2005-01,3.237,
2005-04,3.217,
2005-07,3.171,
2005-10,3.147,
2006-01,3.103,
2006-04,3.114,
2006-07,3.099,
2006-10,3.099,
2007-01,3.075,
2007-04,3.063,
2007-07,3.044,
2007-10,3.086,
2008-01,3.043,
2008-04,3.046,
2008-07,3.051,
2008-10,3.049,
2009-01,3.013,
2009-04,3.407,
2009-07,3.385,
2009-10,3.376,
2010-01,3.345,
2010-04,3.354,
2010-07,3.337,
2010-10,3.309,
2011-01,3.352,
2011-04,3.347,
2011-07,3.320,
2011-10,3.309,
2012-01,3.284,
2012-04,3.611,
2012-07,3.634,
2012-10,3.624,
2013-01,3.592,
2013-04,3.599,
2013-07,3.744,
2013-10,3.752,
2014-01,3.725,
2014-04,3.693,
2014-07,3.710,
