"",BBFB1.Q.N.DE.PL.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.PL.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / Poland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:26,
1991-01,62.121,
1991-04,107.857,
1991-07,89.209,
1991-10,61.305,
1992-01,81.427,
1992-04,179.279,
1992-07,141.974,
1992-10,105.336,
1993-01,139.090,
1993-04,278.898,
1993-07,256.229,
1993-10,209.800,
1994-01,98.074,
1994-04,256.990,
1994-07,305.119,
1994-10,254.977,
1995-01,147.404,
1995-04,357.142,
1995-07,428.553,
1995-10,391.283,
1996-01,166.560,
1996-04,443.715,
1996-07,498.143,
1996-10,376.332,
1997-01,184.003,
1997-04,469.044,
1997-07,603.439,
1997-10,493.252,
1998-01,190.344,
1998-04,504.117,
1998-07,702.163,
1998-10,490.454,
1999-01,195.356,
1999-04,445.359,
1999-07,689.694,
1999-10,593.318,
2000-01,337.381,
2000-04,579.202,
2000-07,760.240,
2000-10,520.205,
2001-01,374.885,
2001-04,726.800,
2001-07,843.526,
2001-10,559.348,
2002-01,308.137,
2002-04,832.016,
2002-07,888.588,
2002-10,550.183,
2003-01,237.920,
2003-04,824.008,
2003-07,891.186,
2003-10,598.452,
2004-01,273.034,
2004-04,886.164,
2004-07,918.145,
2004-10,618.475,
2005-01,272.399,
2005-04,928.887,
2005-07,1118.724,
2005-10,565.225,
2006-01,255.403,
2006-04,819.119,
2006-07,937.046,
2006-10,568.632,
2007-01,266.838,
2007-04,710.825,
2007-07,1021.079,
2007-10,562.908,
2008-01,229.765,
2008-04,654.824,
2008-07,906.336,
2008-10,493.991,
2009-01,237.298,
2009-04,631.978,
2009-07,922.415,
2009-10,523.968,
2010-01,264.808,
2010-04,657.783,
2010-07,952.388,
2010-10,506.249,
2011-01,257.087,
2011-04,624.705,
2011-07,966.427,
2011-10,552.563,
2012-01,289.569,
2012-04,675.029,
2012-07,1036.769,
2012-10,623.265,
2013-01,353.637,
2013-04,740.168,
2013-07,1080.603,
2013-10,636.594,
2014-01,312.439,Provisional value
2014-04,717.175,Provisional value
2014-07,1057.869,Provisional value
