"",BBK01.OELB24U,BBK01.OELB24U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:49,
2002-01,0.019,
2002-04,0.019,
2002-07,0.020,
2002-10,0.026,
2003-01,0.028,
2003-04,0.034,
2003-07,0.051,
2003-10,0.053,
2004-01,0.053,
2004-04,0.054,
2004-07,0.060,
2004-10,0.061,
2005-01,0.060,
2005-04,0.066,
2005-07,0.061,
2005-10,0.066,
2006-01,0.069,
2006-04,0.069,
2006-07,0.073,
2006-10,0.080,
2007-01,0.080,
2007-04,0.086,
2007-07,0.091,
2007-10,0.094,
2008-01,0.093,
2008-04,0.094,
2008-07,0.093,
2008-10,0.090,
2009-01,0.087,
2009-04,0.090,
2009-07,0.089,
2009-10,0.087,
2010-01,0.084,
2010-04,0.085,
2010-07,0.079,
2010-10,0.080,
2011-01,0.077,
2011-04,0.078,
2011-07,0.075,
2011-10,0.072,
2012-01,0.072,
2012-04,0.078,
2012-07,0.076,
2012-10,0.074,
2013-01,0.074,
2013-04,0.076,
2013-07,0.075,
2013-10,0.074,
2014-01,0.075,
2014-04,0.074,
2014-07,0.076,
