"",BBFB1.M.N.DE.W1.S13.S1.T.A.FA.O.F4.S._T.N.N,BBFB1.M.N.DE.W1.S13.S1.T.A.FA.O.F4.S._T.N.N_FLAGS
2004-08,7.213,
2004-09,0.065,
2004-10,-3.811,
2004-11,-27.115,
2004-12,-3.562,
2005-01,26.899,
2005-02,24.687,
2005-03,-27.836,
2005-04,15.511,
2005-05,-18.225,
2005-06,5.837,
2005-07,-11.575,
2005-08,31.183,
2005-09,-7.518,
2005-10,-6.633,
2005-11,-19.749,
2005-12,-15.643,
2006-01,20.068,
2006-02,21.917,
2006-03,-24.573,
2006-04,-14.234,
2006-05,16.709,
2006-06,17.514,
2006-07,-17.406,
2006-08,-17.570,
2006-09,13.940,
2006-10,3.341,
2006-11,-12.482,
2006-12,-9.838,
2007-01,37.847,
2007-02,-24.927,
2007-03,8.464,
2007-04,-11.566,
2007-05,10.441,
2007-06,15.296,
2007-07,-19.919,
2007-08,-0.762,
2007-09,-8.165,
2007-10,15.406,
2007-11,-9.483,
2007-12,228.423,
2008-01,-220.060,
2008-02,-16.479,
2008-03,10.546,
2008-04,-9.114,
2008-05,159.298,
2008-06,-144.482,
2008-07,4.836,
2008-08,-12.906,
2008-09,4.474,
2008-10,4.380,
2008-11,143.869,
2008-12,-171.392,
2009-01,9.078,
2009-02,-29.419,
2009-03,950.661,
2009-04,-948.786,
2009-05,-0.188,
2009-06,301.465,
2009-07,-302.435,
2009-08,1.914,
2009-09,-1.180,
2009-10,-0.179,
2009-11,998.763,
2009-12,-355.696,
2010-01,-643.227,
2010-02,-2.171,
2010-03,-117.462,
2010-04,-1.527,
2010-05,399.782,
2010-06,-48.584,
2010-07,59.313,
2010-08,-99.161,
2010-09,75.227,
2010-10,6616.555,
2010-11,184.584,
2010-12,536.940,
2011-01,224.546,
2011-02,3092.103,
2011-03,-852.578,
2011-04,-3.292,
2011-05,-1246.598,
2011-06,-518.074,
2011-07,-1966.975,
2011-08,-287.561,
2011-09,-758.329,
2011-10,-1224.157,
2011-11,729.016,
2011-12,517.942,
2012-01,170.546,
2012-02,777.687,
2012-03,-62.736,
2012-04,633.775,
2012-05,909.469,
2012-06,176.046,
2012-07,-669.256,
2012-08,-79.950,
2012-09,-706.522,
2012-10,3704.615,
2012-11,5.607,
2012-12,1244.231,
2013-01,-41.000,
2013-02,-706.000,
2013-03,309.000,
2013-04,394.000,
2013-05,-1168.000,
2013-06,-1015.000,
2013-07,-203.000,
2013-08,-439.000,
2013-09,486.000,
2013-10,-317.000,
2013-11,-159.000,
2013-12,119.000,
2014-01,-289.000,
2014-02,-312.000,Provisional value
2014-03,117.000,Provisional value
2014-04,108.000,Provisional value
2014-05,68.000,Provisional value
2014-06,290.000,Provisional value
2014-07,352.000,Provisional value
2014-08,788.000,Provisional value
2014-09,-480.000,
2014-10,450.000,
2014-11,858.000,
2014-12,-681.000,Provisional value
