"",BBK01.CEBF2Q,BBK01.CEBF2Q_FLAGS
"",longer-term loans (consolidated) debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:32,
1991-01,13.0,
1991-04,13.6,
1991-07,13.6,
1991-10,14.9,
1992-01,14.9,
1992-04,15.6,
1992-07,16.0,
1992-10,17.4,
1993-01,17.5,
1993-04,18.4,
1993-07,18.4,
1993-10,19.7,
1994-01,26.5,
1994-04,26.5,
1994-07,27.3,
1994-10,29.2,
1995-01,23.7,
1995-04,24.8,
1995-07,26.5,
1995-10,28.1,
1996-01,28.6,
1996-04,29.4,
1996-07,30.9,
1996-10,31.9,
1997-01,32.4,
1997-04,33.5,
1997-07,35.9,
1997-10,42.0,
1998-01,44.5,
1998-04,51.1,
1998-07,50.6,
1998-10,53.9,
1999-01,69.3,
1999-04,72.6,
1999-07,65.7,
1999-10,66.1,
2000-01,81.9,
2000-04,85.8,
2000-07,89.8,
2000-10,143.4,
2001-01,151.2,
2001-04,155.4,
2001-07,169.6,
2001-10,179.0,
2002-01,181.1,
2002-04,203.5,
2002-07,208.5,
2002-10,223.6,
2003-01,218.4,
2003-04,225.9,
2003-07,233.3,
2003-10,219.3,
2004-01,196.2,
2004-04,203.0,
2004-07,205.8,
2004-10,195.6,
2005-01,200.9,
2005-04,204.2,
2005-07,207.1,
2005-10,214.6,
2006-01,224.9,
2006-04,233.8,
2006-07,240.0,
2006-10,245.2,
2007-01,243.5,
2007-04,244.4,
2007-07,252.7,
2007-10,244.3,
2008-01,258.0,
2008-04,260.9,
2008-07,268.8,
2008-10,285.9,
2009-01,291.4,
2009-04,300.8,
2009-07,311.3,
2009-10,318.9,
2010-01,332.0,
2010-04,345.3,
2010-07,349.0,
2010-10,356.4,
2011-01,355.2,
2011-04,350.8,
2011-07,356.6,
2011-10,356.5,
2012-01,361.9,
2012-04,367.5,
2012-07,366.0,
2012-10,358.8,
2013-01,359.9,
2013-04,360.1,
2013-07,354.0,
2013-10,337.2,
2014-01,338.3,
