"",BBK01.OEAA18K,BBK01.OEAA18K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:00,
2002-01,14.764,
2002-04,14.587,
2002-07,14.298,
2002-10,14.574,
2003-01,13.352,
2003-04,13.861,
2003-07,13.543,
2003-10,14.586,
2004-01,13.988,
2004-04,13.092,
2004-07,11.696,
2004-10,10.481,
2005-01,10.065,
2005-04,9.994,
2005-07,10.228,
2005-10,11.153,
2006-01,10.018,
2006-04,10.946,
2006-07,11.394,
2006-10,11.878,
2007-01,11.160,
2007-04,10.647,
2007-07,11.791,
2007-10,11.828,
2008-01,13.145,
2008-04,13.882,
2008-07,13.697,
2008-10,13.773,
2009-01,13.427,
2009-04,13.584,
2009-07,12.738,
2009-10,12.239,
2010-01,12.455,
2010-04,12.516,
2010-07,12.666,
2010-10,11.991,
2011-01,12.084,
2011-04,11.793,
2011-07,12.969,
2011-10,12.609,
2012-01,13.165,
2012-04,13.664,
2012-07,13.568,
2012-10,12.745,
2013-01,12.609,
2013-04,13.263,
2013-07,13.160,
2013-10,12.428,
2014-01,12.431,
2014-04,12.911,
2014-07,12.022,
