"",BBK01.OELL09H,BBK01.OELL09H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:32,
2002-01,5.740,
2002-04,5.675,
2002-07,5.554,
2002-10,5.327,
2003-01,4.945,
2003-04,4.614,
2003-07,4.316,
2003-10,4.492,
2004-01,4.370,
2004-04,4.411,
2004-07,4.599,
2004-10,5.060,
2005-01,5.386,
2005-04,5.479,
2005-07,5.318,
2005-10,5.040,
2006-01,4.854,
2006-04,4.818,
2006-07,4.948,
2006-10,4.936,
2007-01,4.858,
2007-04,4.658,
2007-07,4.564,
2007-10,4.550,
2008-01,4.342,
2008-04,3.880,
2008-07,3.543,
2008-10,3.554,
2009-01,4.164,
2009-04,4.999,
2009-07,5.788,
2009-10,6.815,
2010-01,7.011,
2010-04,6.719,
2010-07,6.111,
2010-10,5.598,
2011-01,5.252,
2011-04,5.523,
2011-07,5.747,
2011-10,5.808,
2012-01,5.588,
2012-04,5.320,
2012-07,5.112,
2012-10,5.196,
2013-01,5.226,
2013-04,5.093,
2013-07,4.772,
2013-10,5.138,
2014-01,5.351,
2014-04,5.466,
2014-07,5.551,
