"",BBFB1.Q.N.DE.PL.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.PL.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Poland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:26,
1991-01,-95.597,
1991-04,-76.118,
1991-07,-7.161,
1991-10,190.530,
1992-01,-119.755,
1992-04,28.110,
1992-07,15.540,
1992-10,88.413,
1993-01,-34.631,
1993-04,61.253,
1993-07,-25.094,
1993-10,370.445,
1994-01,59.048,
1994-04,94.097,
1994-07,-59.809,
1994-10,40.801,
1995-01,-85.113,
1995-04,-12.851,
1995-07,345.256,
1995-10,200.417,
1996-01,-234.488,
1996-04,66.988,
1996-07,-29.461,
1996-10,204.968,
1997-01,43.315,
1997-04,708.929,
1997-07,-432.144,
1997-10,406.651,
1998-01,1003.018,
1998-04,-171.471,
1998-07,1248.528,
1998-10,-380.608,
1999-01,-433.596,
1999-04,-833.052,
1999-07,254.157,
1999-10,788.817,
2000-01,362.719,
2000-04,28.997,
2000-07,265.632,
2000-10,689.610,
2001-01,45.392,
2001-04,-795.575,
2001-07,-134.405,
2001-10,32.621,
2002-01,328.105,
2002-04,300.022,
2002-07,-1256.200,
2002-10,-871.600,
2003-01,-205.981,
2003-04,118.259,
2003-07,-720.024,
2003-10,-223.754,
2004-01,845.550,
2004-04,-90.268,
2004-07,273.255,
2004-10,261.319,
2005-01,816.561,
2005-04,257.152,
2005-07,532.403,
2005-10,460.869,
2006-01,-99.144,
2006-04,441.530,
2006-07,191.451,
2006-10,-49.315,
2007-01,-425.307,
2007-04,-631.881,
2007-07,-733.546,
2007-10,192.201,
2008-01,-1467.643,
2008-04,-99.129,
2008-07,-1001.304,
2008-10,-330.430,
2009-01,-712.938,
2009-04,-122.343,
2009-07,272.543,
2009-10,23.546,
2010-01,8.958,
2010-04,-2308.300,
2010-07,-66.533,
2010-10,627.474,
2011-01,-2257.770,
2011-04,-2623.609,
2011-07,-4295.313,
2011-10,-2103.914,
2012-01,-1513.940,
2012-04,1526.593,
2012-07,3181.997,
2012-10,-1122.332,
2013-01,1538.264,
2013-04,1369.259,
2013-07,2222.801,
2013-10,-410.785,
2014-01,-991.376,Provisional value
2014-04,-69.460,Provisional value
2014-07,295.569,Provisional value
2014-10,2068.953,Provisional value
