"",BBFN1.M.DE.N.1.A.W1.S1P.H2.T.NV00.Z06.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.H2.T.NV00.Z06.BGA.X001.D_FLAGS
1997-09,0.768,
1997-10,0.681,
1997-11,0.749,
1997-12,0.662,
1998-01,0.543,
1998-02,0.617,
1998-03,0.601,
1998-04,0.654,
1998-05,0.689,
1998-06,0.554,
1998-07,0.563,
1998-08,0.682,
1998-09,0.604,
1998-10,0.587,
1998-11,0.595,
1998-12,0.526,
1999-01,0.578,
1999-02,0.637,
1999-03,0.619,
1999-04,0.580,
1999-05,0.606,
1999-06,0.519,
1999-07,0.505,
1999-08,0.494,
1999-09,0.429,
1999-10,0.482,
1999-11,0.501,
1999-12,0.486,
2000-01,0.451,
2000-02,0.499,
2000-03,0.484,
2000-04,0.468,
2000-05,0.457,
2000-06,0.323,
2000-07,0.299,
2000-08,0.332,
2000-09,0.306,
2000-10,0.316,
2000-11,0.303,
2000-12,0.260,
2001-01,0.312,
2001-02,0.387,
2001-03,0.447,
2001-04,0.451,
2001-05,0.449,
2001-06,0.462,
2001-07,0.413,
2001-08,1.103,
2001-09,1.031,
2001-10,1.321,
2001-11,1.387,
2001-12,1.580,
2002-01,0.959,
2002-02,1.260,
2002-03,1.648,
2002-04,1.658,
2002-05,1.353,
2002-06,1.408,
2002-07,1.631,
2002-08,1.513,
2002-09,1.366,
2002-10,1.638,
2002-11,1.069,
2002-12,0.918,
2003-01,0.874,
2003-02,0.864,
2003-03,0.970,
2003-04,1.091,
2003-05,0.908,
2003-06,0.869,
2003-07,1.174,
2003-08,1.010,
2003-09,0.965,
2003-10,0.950,
2003-11,0.267,
2003-12,0.204,
2004-01,0.203,
2004-02,0.197,
2004-03,0.260,
2004-04,0.262,
2004-05,0.239,
2004-06,0.229,
2004-07,0.224,
2004-08,0.211,
2004-09,0.252,
2004-10,0.262,
2004-11,0.271,
2004-12,0.218,
2005-01,0.216,
2005-02,0.206,
2005-03,0.215,
2005-04,0.228,
2005-05,0.227,
2005-06,0.213,
2005-07,0.225,
2005-08,0.233,
2005-09,0.233,
2005-10,0.245,
2005-11,0.206,
2005-12,0.167,
2006-01,0.182,
2006-02,0.200,
2006-03,0.189,
2006-04,0.207,
2006-05,0.215,
2006-06,0.192,
2006-07,0.204,
2006-08,0.250,
2006-09,0.225,
2006-10,0.238,
2006-11,0.251,
2006-12,0.189,
2007-01,0.221,
2007-02,0.245,
2007-03,0.264,
2007-04,0.259,
2007-05,0.274,
2007-06,0.309,
2007-07,0.305,
2007-08,0.307,
2007-09,0.273,
2007-10,0.313,
2007-11,0.335,
2007-12,0.236,
2008-01,0.250,
2008-02,0.256,
2008-03,0.243,
2008-04,0.276,
2008-05,0.276,
2008-06,0.281,
2008-07,0.285,
2008-08,0.306,
2008-09,0.288,
2008-10,0.326,
2008-11,0.368,
2008-12,0.234,
2009-01,0.256,
2009-02,0.272,
2009-03,0.276,
2009-04,0.292,
2009-05,0.306,
2009-06,0.341,
2009-07,0.322,
2009-08,0.296,
2009-09,0.319,
2009-10,0.333,
2009-11,0.373,
2009-12,0.462,
2010-01,0.326,
2010-02,0.370,
2010-03,0.416,
2010-04,0.410,
2010-05,0.457,
2010-06,0.509,
2010-07,0.528,
2010-08,0.496,
2010-09,0.498,
2010-10,0.466,
2010-11,0.440,
2010-12,0.539,
2011-01,1.367,
2011-02,1.390,
2011-03,1.284,
2011-04,1.277,
2011-05,1.318,
2011-06,1.286,
2011-07,1.302,
2011-08,1.317,
2011-09,1.316,
2011-10,1.436,
2011-11,1.422,
2011-12,1.252,
2012-01,1.271,
2012-02,1.267,
2012-03,1.235,
2012-04,1.258,
2012-05,1.279,
2012-06,1.282,
2012-07,1.352,
2012-08,1.546,
2012-09,1.568,
2012-10,1.560,
2012-11,1.594,
2012-12,1.199,
2013-01,1.213,
2013-02,1.207,
2013-03,1.219,
2013-04,1.240,
2013-05,1.310,
2013-06,1.293,
2013-07,1.070,
2013-08,0.881,
2013-09,1.191,
2013-10,1.210,
2013-11,1.156,
2013-12,1.036,
2014-01,1.101,
2014-02,1.083,
2014-03,1.129,
2014-04,1.114,
2014-05,1.104,
2014-06,1.111,
2014-07,1.114,
2014-08,1.122,
2014-09,1.148,
2014-10,1.178,
2014-11,1.217,
2014-12,1.163,
"","General: From January 1999, excluding national currencies of the euro-area member states.",
