"",BBK01.OEAM01M,BBK01.OEAM01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:11,
2002-01,3.086,
2002-04,3.142,
2002-07,2.853,
2002-10,3.106,
2003-01,2.499,
2003-04,2.766,
2003-07,2.244,
2003-10,2.753,
2004-01,2.168,
2004-04,2.459,
2004-07,2.092,
2004-10,2.774,
2005-01,2.160,
2005-04,2.559,
2005-07,2.359,
2005-10,2.953,
2006-01,2.703,
2006-04,2.647,
2006-07,3.173,
2006-10,3.717,
2007-01,3.167,
2007-04,3.540,
2007-07,3.708,
2007-10,4.518,
2008-01,4.417,
2008-04,4.358,
2008-07,4.342,
2008-10,7.414,
2009-01,5.499,
2009-04,6.710,
2009-07,5.301,
2009-10,5.076,
2010-01,4.260,
2010-04,6.452,
2010-07,5.916,
2010-10,6.073,
2011-01,5.586,
2011-04,6.905,
2011-07,7.149,
2011-10,7.436,
2012-01,7.200,
2012-04,9.463,
2012-07,9.143,
2012-10,7.143,
2013-01,7.011,
2013-04,8.907,
2013-07,7.671,
2013-10,8.195,
2014-01,10.086,
2014-04,9.386,
2014-07,11.238,
