"",BBK01.CEBD02,BBK01.CEBD02_FLAGS
"",Currency and transferable deposits debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:25,
1991-01,216.0,
1991-04,226.4,
1991-07,221.6,
1991-10,220.4,
1992-01,242.6,
1992-04,250.0,
1992-07,262.5,
1992-10,279.3,
1993-01,288.5,
1993-04,322.6,
1993-07,317.4,
1993-10,321.5,
1994-01,287.6,
1994-04,299.0,
1994-07,267.3,
1994-10,291.7,
1995-01,274.1,
1995-04,275.9,
1995-07,280.9,
1995-10,304.7,
1996-01,299.4,
1996-04,301.9,
1996-07,317.6,
1996-10,331.6,
1997-01,334.0,
1997-04,363.2,
1997-07,337.3,
1997-10,360.5,
1998-01,379.4,
1998-04,400.8,
1998-07,408.2,
1998-10,399.1,
1999-01,334.3,
1999-04,326.4,
1999-07,318.2,
1999-10,293.4,
2000-01,330.5,
2000-04,327.1,
2000-07,303.0,
2000-10,321.1,
2001-01,360.9,
2001-04,381.8,
2001-07,401.1,
2001-10,374.8,
2002-01,350.8,
2002-04,385.3,
2002-07,395.4,
2002-10,396.8,
2003-01,440.9,
2003-04,461.2,
2003-07,429.5,
2003-10,394.7,
2004-01,427.9,
2004-04,415.1,
2004-07,434.0,
2004-10,357.6,
2005-01,447.5,
2005-04,473.4,
2005-07,446.7,
2005-10,387.4,
2006-01,439.3,
2006-04,441.9,
2006-07,436.0,
2006-10,451.2,
2007-01,490.2,
2007-04,511.3,
2007-07,529.4,
2007-10,512.1,
2008-01,560.2,
2008-04,537.1,
2008-07,611.3,
2008-10,667.0,
2009-01,587.7,
2009-04,617.9,
2009-07,554.2,
2009-10,534.3,
2010-01,584.2,
2010-04,720.8,
2010-07,628.4,
2010-10,632.9,
2011-01,624.6,
2011-04,623.4,
2011-07,798.4,
2011-10,744.7,
2012-01,1012.4,
2012-04,1075.0,
2012-07,1024.0,
2012-10,895.9,
2013-01,849.4,
2013-04,829.9,
2013-07,798.9,
2013-10,730.0,
2014-01,734.2,
