"",BBK01.OEAB12K,BBK01.OEAB12K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:01,
2002-01,28.201,
2002-04,28.566,
2002-07,29.025,
2002-10,29.288,
2003-01,28.993,
2003-04,28.802,
2003-07,29.407,
2003-10,29.557,
2004-01,30.521,
2004-04,36.340,
2004-07,36.762,
2004-10,37.423,
2005-01,37.122,
2005-04,38.192,
2005-07,38.652,
2005-10,39.553,
2006-01,40.708,
2006-04,41.380,
2006-07,41.258,
2006-10,40.357,
2007-01,38.789,
2007-04,38.860,
2007-07,38.235,
2007-10,37.405,
2008-01,40.652,
2008-04,41.877,
2008-07,43.712,
2008-10,44.951,
2009-01,45.080,
2009-04,45.947,
2009-07,45.363,
2009-10,42.585,
2010-01,43.176,
2010-04,45.857,
2010-07,47.219,
2010-10,48.709,
2011-01,47.586,
2011-04,47.748,
2011-07,52.332,
2011-10,53.602,
2012-01,52.843,
2012-04,53.754,
2012-07,53.760,
2012-10,50.358,
2013-01,49.908,
2013-04,50.140,
2013-07,50.703,
2013-10,45.914,
2014-01,45.556,
2014-04,46.166,
2014-07,46.818,
