"",BBK01.OEBB05J,BBK01.OEBB05J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:59,
2002-01,4.992,
2002-04,5.032,
2002-07,4.944,
2002-10,4.800,
2003-01,4.747,
2003-04,4.701,
2003-07,4.710,
2003-10,4.394,
2004-01,4.373,
2004-04,4.374,
2004-07,4.282,
2004-10,4.064,
2005-01,4.805,
2005-04,4.810,
2005-07,4.874,
2005-10,4.903,
2006-01,4.963,
2006-04,4.972,
2006-07,4.954,
2006-10,4.828,
2007-01,4.802,
2007-04,4.895,
2007-07,4.974,
2007-10,4.814,
2008-01,4.826,
2008-04,4.980,
2008-07,5.069,
2008-10,4.981,
2009-01,5.020,
2009-04,4.998,
2009-07,4.914,
2009-10,4.835,
2010-01,4.828,
2010-04,4.889,
2010-07,4.871,
2010-10,4.859,
2011-01,4.917,
2011-04,4.983,
2011-07,5.045,
2011-10,5.078,
2012-01,5.083,
2012-04,6.038,
2012-07,6.231,
2012-10,5.437,
2013-01,5.637,
2013-04,5.360,
2013-07,5.413,
2013-10,5.564,
2014-01,5.625,
2014-04,5.646,
2014-07,5.486,
