"",BBK01.OEAK02T,BBK01.OEAK02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:15,
2002-01,0.778,
2002-04,0.794,
2002-07,0.836,
2002-10,0.874,
2003-01,0.813,
2003-04,0.834,
2003-07,0.860,
2003-10,0.903,
2004-01,0.873,
2004-04,0.884,
2004-07,0.900,
2004-10,0.958,
2005-01,0.918,
2005-04,0.921,
2005-07,0.974,
2005-10,1.043,
2006-01,0.956,
2006-04,0.974,
2006-07,1.033,
2006-10,1.098,
2007-01,1.049,
2007-04,1.073,
2007-07,1.099,
2007-10,1.202,
2008-01,1.091,
2008-04,1.090,
2008-07,1.135,
2008-10,1.278,
2009-01,1.221,
2009-04,1.292,
2009-07,1.308,
2009-10,1.412,
2010-01,1.337,
2010-04,1.434,
2010-07,1.522,
2010-10,1.623,
2011-01,1.510,
2011-04,1.517,
2011-07,1.614,
2011-10,1.719,
2012-01,1.644,
2012-04,1.741,
2012-07,1.926,
2012-10,2.023,
2013-01,1.960,
2013-04,1.968,
2013-07,2.077,
2013-10,2.210,
2014-01,2.070,
2014-04,2.039,
2014-07,2.158,
