"",BBK01.CEFC091,BBK01.CEFC091_FLAGS
"",Financial derivatives  debtor: Total                                                  creditor: Non-MMF investment funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:25,
1999-01,3.0,
1999-04,3.3,
1999-07,3.3,
1999-10,3.3,
2000-01,3.3,
2000-04,3.3,
2000-07,3.7,
2000-10,4.1,
2001-01,4.4,
2001-04,4.6,
2001-07,5.1,
2001-10,5.6,
2002-01,5.8,
2002-04,6.0,
2002-07,6.7,
2002-10,6.9,
2003-01,7.4,
2003-04,7.7,
2003-07,7.3,
2003-10,6.9,
2004-01,8.0,
2004-04,7.4,
2004-07,7.4,
2004-10,7.4,
2005-01,7.8,
2005-04,7.9,
2005-07,8.3,
2005-10,8.3,
2006-01,8.6,
2006-04,8.7,
2006-07,8.5,
2006-10,8.4,
2007-01,9.2,
2007-04,9.9,
2007-07,10.1,
2007-10,10.6,
2008-01,11.8,
2008-04,11.2,
2008-07,12.4,
2008-10,13.2,
2009-01,13.8,
2009-04,9.0,
2009-07,8.5,
2009-10,7.6,
2010-01,7.8,
2010-04,9.4,
2010-07,11.5,
2010-10,6.7,
2011-01,9.4,
2011-04,8.0,
2011-07,8.6,
2011-10,8.0,
2012-01,8.2,
2012-04,9.4,
2012-07,10.1,
2012-10,10.9,
2013-01,10.2,
2013-04,10.2,
2013-07,10.2,
2013-10,9.3,
2014-01,8.7,
2014-04,9.3,
2014-07,12.0,
