"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.Z5.00000.000000.EUR.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.Z5.00000.000000.EUR.00_FLAGS
"",Funds total / Funds total / Securities total / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:08,
2009-09,698211,
2009-10,699969,
2009-11,710898,
2009-12,723649,
2010-01,729291,
2010-02,735344,
2010-03,758626,
2010-04,762339,
2010-05,759765,
2010-06,750659,
2010-07,764042,
2010-08,781093,
2010-09,787640,
2010-10,798557,
2010-11,787149,
2010-12,794178,
2011-01,792795,
2011-02,803945,
2011-03,798628,
2011-04,804555,
2011-05,805281,
2011-06,800289,
2011-07,803574,
2011-08,777733,
2011-09,764999,
2011-10,779313,
2011-11,762601,
2011-12,778134,
2012-01,795076,
2012-02,823024,
2012-03,828044,
2012-04,824775,
2012-05,822650,
2012-06,824407,
2012-07,855348,
2012-08,865153,
2012-09,870634,
2012-10,878791,
2012-11,890479,
2012-12,909883,
2013-01,913284,
2013-02,920706,
2013-03,931370,
2013-04,950783,
2013-05,950599,
2013-06,923816,
2013-07,944736,
2013-08,940282,
2013-09,953332,
2013-10,969059,
2013-11,978148,
2013-12,973898,
2014-01,979382,
2014-02,999369,
2014-03,1009999,
2014-04,1018507,
2014-05,1034129,
2014-06,1040656,
2014-07,1044567,
2014-08,1059961,
2014-09,1056274,
2014-10,1055434,
2014-11,1076529,
