"",BBK01.OEBB19P,BBK01.OEBB19P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:08,
2002-01,0.136,
2002-04,0.133,
2002-07,0.128,
2002-10,0.122,
2003-01,0.128,
2003-04,0.130,
2003-07,0.130,
2003-10,0.127,
2004-01,0.125,
2004-04,0.125,
2004-07,0.124,
2004-10,0.116,
2005-01,0.117,
2005-04,0.120,
2005-07,0.126,
2005-10,0.125,
2006-01,0.127,
2006-04,0.127,
2006-07,0.133,
2006-10,0.139,
2007-01,0.140,
2007-04,0.137,
2007-07,0.139,
2007-10,0.140,
2008-01,0.136,
2008-04,0.134,
2008-07,0.133,
2008-10,0.131,
2009-01,0.136,
2009-04,0.136,
2009-07,0.134,
2009-10,0.130,
2010-01,0.131,
2010-04,0.144,
2010-07,0.145,
2010-10,0.146,
2011-01,0.142,
2011-04,0.138,
2011-07,0.143,
2011-10,0.137,
2012-01,0.139,
2012-04,0.137,
2012-07,0.137,
2012-10,0.134,
2013-01,0.141,
2013-04,0.138,
2013-07,0.139,
2013-10,0.137,
2014-01,0.134,
2014-04,0.131,
2014-07,0.129,
