"",BBK01.OEAH57U,BBK01.OEAH57U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:31,
2002-01,18.349,
2002-04,18.147,
2002-07,18.076,
2002-10,18.578,
2003-01,18.557,
2003-04,18.396,
2003-07,18.341,
2003-10,18.694,
2004-01,18.655,
2004-04,18.556,
2004-07,18.440,
2004-10,18.899,
2005-01,19.795,
2005-04,19.628,
2005-07,19.416,
2005-10,19.717,
2006-01,19.792,
2006-04,19.625,
2006-07,19.455,
2006-10,19.667,
2007-01,19.823,
2007-04,19.889,
2007-07,19.999,
2007-10,20.513,
2008-01,20.442,
2008-04,20.404,
2008-07,20.336,
2008-10,21.182,
2009-01,21.150,
2009-04,21.074,
2009-07,21.149,
2009-10,21.550,
2010-01,21.647,
2010-04,21.746,
2010-07,21.760,
2010-10,22.252,
2011-01,22.220,
2011-04,22.252,
2011-07,22.342,
2011-10,22.684,
2012-01,22.813,
2012-04,22.934,
2012-07,22.901,
2012-10,23.231,
2013-01,23.197,
2013-04,23.207,
2013-07,23.160,
2013-10,23.456,
2014-01,23.492,
2014-04,23.569,
2014-07,23.722,
