"",BBFN1.M.DE.N.1.L.PA.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.PA.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Panama,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:56,
1982-09,0.191,
1982-10,0.186,
1982-11,0.159,
1982-12,0.198,
1983-01,0.176,
1983-02,0.207,
1983-03,0.199,
1983-04,0.202,
1983-05,0.197,
1983-06,0.194,
1983-07,0.213,
1983-08,0.200,
1983-09,0.199,
1983-10,0.195,
1983-11,0.168,
1983-12,0.170,
1984-01,0.187,
1984-02,0.200,
1984-03,0.200,
1984-04,0.194,
1984-05,0.200,
1984-06,0.192,
1984-07,0.174,
1984-08,0.175,
1984-09,0.179,
1984-10,0.209,
1984-11,0.169,
1984-12,0.202,
1985-01,0.204,
1985-02,0.222,
1985-03,0.261,
1985-04,0.267,
1985-05,0.304,
1985-06,0.302,
1985-07,0.315,
1985-08,0.312,
1985-09,0.261,
1985-10,0.250,
1985-11,0.230,
1985-12,0.323,
1986-01,0.291,
1986-02,0.336,
1986-03,0.363,
1986-04,0.302,
1986-05,0.312,
1986-06,0.356,
1986-07,0.288,
1986-08,0.302,
1986-09,0.310,
1986-10,0.267,
1986-11,0.218,
1986-12,0.737,
1987-01,0.800,
1987-02,0.749,
1987-03,0.759,
1987-04,0.754,
1987-05,0.744,
1987-06,0.749,
1987-07,0.725,
1987-08,0.700,
1987-09,0.772,
1987-10,0.726,
1987-11,0.682,
1987-12,0.753,
1988-01,0.720,
1988-02,0.713,
1988-03,0.685,
1988-04,0.681,
1988-05,0.679,
1988-06,0.691,
1988-07,0.691,
1988-08,0.681,
1988-09,0.706,
1988-10,0.714,
1988-11,0.643,
1988-12,0.130,
1989-01,0.114,
1989-02,0.110,
1989-03,0.109,
1989-04,0.110,
1989-05,0.108,
1989-06,0.109,
1989-07,0.159,
1989-08,0.163,
1989-09,0.184,
1989-10,0.180,
1989-11,0.179,
1989-12,0.308,
1990-01,0.308,
1990-02,0.306,
1990-03,0.310,
1990-04,0.304,
1990-05,0.318,
1990-06,0.312,
1990-07,0.313,
1990-08,0.314,
1990-09,0.310,
1990-10,0.315,
1990-11,0.179,
1990-12,0.954,
1991-01,0.971,
1991-02,1.020,
1991-03,1.107,
