"",BBK01.CEFR09,BBK01.CEFR09_FLAGS
"",long-term time deposits                                      debtor: Total           creditor: Non-MMF investment funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:13,
1999-01,1.0,
1999-04,1.1,
1999-07,1.2,
1999-10,1.3,
2000-01,1.3,
2000-04,1.4,
2000-07,2.4,
2000-10,2.3,
2001-01,1.3,
2001-04,1.4,
2001-07,1.4,
2001-10,1.7,
2002-01,1.6,
2002-04,1.8,
2002-07,2.0,
2002-10,2.5,
2003-01,3.1,
2003-04,3.1,
2003-07,3.3,
2003-10,3.6,
2004-01,3.5,
2004-04,3.4,
2004-07,3.8,
2004-10,3.6,
2005-01,3.6,
2005-04,3.4,
2005-07,4.1,
2005-10,3.7,
2006-01,8.0,
2006-04,7.6,
2006-07,7.0,
2006-10,11.0,
2007-01,10.0,
2007-04,10.2,
2007-07,10.1,
2007-10,8.4,
2008-01,9.8,
2008-04,9.5,
2008-07,9.5,
2008-10,10.0,
2009-01,8.8,
2009-04,8.0,
2009-07,6.8,
2009-10,16.8,
2010-01,15.8,
2010-04,15.8,
2010-07,15.8,
2010-10,14.8,
2011-01,17.5,
2011-04,17.7,
2011-07,21.4,
2011-10,20.8,
2012-01,20.1,
2012-04,21.5,
2012-07,20.7,
2012-10,19.2,
2013-01,19.8,
2013-04,20.0,
2013-07,19.7,
2013-10,18.7,
2014-01,18.6,
2014-04,18.2,
2014-07,18.6,
