"",BBSF2.M.1.P.00000.IMM01.I.F.DGG.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.DGG.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Real estate funds / Loans granted to real estate companies,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:35,
2009-01,-,Nothing exists
2009-02,-,Nothing exists
2009-03,-,Nothing exists
2009-04,-,Nothing exists
2009-05,-,Nothing exists
2009-06,-,Nothing exists
2009-07,-,Nothing exists
2009-08,-,Nothing exists
2009-09,5419,
2009-10,5288,
2009-11,5347,
2009-12,5428,
2010-01,5480,
2010-02,5444,
2010-03,5491,
2010-04,5612,
2010-05,5683,
2010-06,5732,
2010-07,5687,
2010-08,5870,
2010-09,5747,
2010-10,5963,
2010-11,6075,
2010-12,5956,
2011-01,5778,
2011-02,5625,
2011-03,5541,
2011-04,5550,
2011-05,5586,
2011-06,5557,
2011-07,5587,
2011-08,5564,
2011-09,5566,
2011-10,5570,
2011-11,5538,
2011-12,5568,
2012-01,5715,
2012-02,5712,
2012-03,5556,
2012-04,5582,
2012-05,5613,
2012-06,5633,
2012-07,5739,
2012-08,5641,
2012-09,5593,
2012-10,5686,
2012-11,5753,
2012-12,5800,
2013-01,5647,
2013-02,5723,
2013-03,5754,
2013-04,5635,
2013-05,5674,
2013-06,5866,
2013-07,5684,
2013-08,5674,
2013-09,5556,
2013-10,5526,
2013-11,5560,
2013-12,5484,
2014-01,5801,
2014-02,5867,
2014-03,5838,
2014-04,5985,
2014-05,5944,
2014-06,5840,
2014-07,5886,
2014-08,5933,
2014-09,5929,
2014-10,5834,
2014-11,5929,
