"",BBK01.CELU0I,BBK01.CELU0I_FLAGS
"",short-term savings deposits                   debtor: Total            creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:20,
1999-01,7.6,
1999-04,5.1,
1999-07,-0.7,
1999-10,-4.4,
2000-01,-11.8,
2000-04,-16.1,
2000-07,-12.6,
2000-10,-12.3,
2001-01,-3.6,
2001-04,0.7,
2001-07,3.4,
2001-10,11.5,
2002-01,5.0,
2002-04,-5.6,
2002-07,2.5,
2002-10,9.2,
2003-01,11.4,
2003-04,5.2,
2003-07,8.1,
2003-10,2.7,
2004-01,4.8,
2004-04,3.5,
2004-07,3.7,
2004-10,1.8,
2005-01,2.9,
2005-04,1.4,
2005-07,1.4,
2005-10,-2.9,
2006-01,-1.1,
2006-04,-5.3,
2006-07,-9.4,
2006-10,-15.1,
2007-01,-10.7,
2007-04,-9.3,
2007-07,-10.2,
2007-10,-10.2,
2008-01,-5.8,
2008-04,-4.0,
2008-07,-8.8,
2008-10,-2.5,
2009-01,13.6,
2009-04,10.9,
2009-07,13.4,
2009-10,10.5,
2010-01,13.4,
2010-04,5.7,
2010-07,9.2,
2010-10,8.4,
2011-01,7.1,
2011-04,-3.5,
2011-07,-1.7,
2011-10,-0.2,
2012-01,8.0,
2012-04,-0.1,
2012-07,2.8,
2012-10,2.0,
2013-01,1.9,
2013-04,0.2,
2013-07,0.2,
2013-10,0.8,
2014-01,-0.4,
2014-04,-1.6,
2014-07,0.7,
