"",BBK01.OEBM02R,BBK01.OEBM02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:26,
2002-01,0.090,
2002-04,0.101,
2002-07,0.107,
2002-10,0.139,
2003-01,0.103,
2003-04,0.110,
2003-07,0.117,
2003-10,0.122,
2004-01,0.108,
2004-04,0.147,
2004-07,0.156,
2004-10,0.179,
2005-01,0.176,
2005-04,0.189,
2005-07,0.203,
2005-10,0.218,
2006-01,0.190,
2006-04,0.208,
2006-07,0.186,
2006-10,0.193,
2007-01,0.160,
2007-04,0.151,
2007-07,0.231,
2007-10,0.128,
2008-01,0.106,
2008-04,0.154,
2008-07,0.106,
2008-10,0.216,
2009-01,0.425,
2009-04,0.497,
2009-07,0.560,
2009-10,0.570,
2010-01,0.548,
2010-04,0.564,
2010-07,0.601,
2010-10,0.583,
2011-01,0.516,
2011-04,0.523,
2011-07,0.535,
2011-10,0.406,
2012-01,0.245,
2012-04,0.311,
2012-07,0.281,
2012-10,0.284,
2013-01,0.238,
2013-04,0.221,
2013-07,0.224,
2013-10,0.189,
2014-01,0.199,
2014-04,0.231,
2014-07,0.240,
