"",BBK01.OEAA13Q,BBK01.OEAA13Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:14,
2002-01,81.251,
2002-04,81.353,
2002-07,77.521,
2002-10,77.892,
2003-01,77.466,
2003-04,84.963,
2003-07,84.688,
2003-10,85.111,
2004-01,84.091,
2004-04,75.675,
2004-07,75.151,
2004-10,77.427,
2005-01,77.473,
2005-04,78.618,
2005-07,78.533,
2005-10,78.604,
2006-01,78.780,
2006-04,82.497,
2006-07,79.294,
2006-10,81.699,
2007-01,85.018,
2007-04,82.843,
2007-07,75.748,
2007-10,75.179,
2008-01,71.604,
2008-04,70.967,
2008-07,70.888,
2008-10,71.085,
2009-01,70.537,
2009-04,71.895,
2009-07,73.531,
2009-10,78.379,
2010-01,78.399,
2010-04,77.116,
2010-07,73.705,
2010-10,73.548,
2011-01,72.951,
2011-04,72.022,
2011-07,67.451,
2011-10,67.517,
2012-01,67.188,
2012-04,68.802,
2012-07,68.948,
2012-10,73.165,
2013-01,72.506,
2013-04,70.707,
2013-07,71.027,
2013-10,76.169,
2014-01,75.585,
2014-04,75.814,
2014-07,76.387,
