"",BBFI1.Q.N.DE.W1.S12T.S1.LE.A.FA.P.F3.S._T.M.N,BBFI1.Q.N.DE.W1.S12T.S1.LE.A.FA.P.F3.S._T.M.N_FLAGS
"",IIP - Portfolio investment - Debt securities - Short-term original maturity (up to 1 year incl. incl.) - Assets - Positions - resident holder: Monetary financial institutions other than central bank - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:05:30,
1999-10,9522,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,8779,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,7703,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,11712,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,10521,
2004-01,10170,
2004-04,12846,
2004-07,16830,
2004-10,16490,
2005-01,12852,
2005-04,13230,
2005-07,16011,
2005-10,18367,
2006-01,18109,
2006-04,25415,
2006-07,20954,
2006-10,20039,
2007-01,23417,
2007-04,26235,
2007-07,31010,
2007-10,43489,
2008-01,39314,
2008-04,50418,
2008-07,51447,
2008-10,29557,
2009-01,22950,
2009-04,21796,
2009-07,20219,
2009-10,16941,
2010-01,16713,
2010-04,17468,
2010-07,15093,
2010-10,11761,
2011-01,15162,
2011-04,21338,
2011-07,23511,
2011-10,13776,
2012-01,17857,
2012-04,14555,
2012-07,15278,
2012-10,14781,
2013-01,14752,
2013-04,16019,
2013-07,16394,
2013-10,16353,
2014-01,18567,
2014-04,19567,
2014-07,17484,
