"",BBK01.OEAD37Q,BBK01.OEAD37Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:27,
2002-01,0.312,
2002-04,0.308,
2002-07,0.286,
2002-10,0.281,
2003-01,0.280,
2003-04,0.319,
2003-07,0.315,
2003-10,0.336,
2004-01,0.328,
2004-04,0.322,
2004-07,0.304,
2004-10,0.307,
2005-01,0.299,
2005-04,0.290,
2005-07,0.283,
2005-10,0.287,
2006-01,0.282,
2006-04,0.293,
2006-07,0.265,
2006-10,0.260,
2007-01,0.297,
2007-04,0.362,
2007-07,0.330,
2007-10,0.311,
2008-01,0.226,
2008-04,0.225,
2008-07,0.229,
2008-10,0.223,
2009-01,0.192,
2009-04,0.197,
2009-07,0.185,
2009-10,0.182,
2010-01,0.188,
2010-04,0.195,
2010-07,0.176,
2010-10,0.174,
2011-01,0.178,
2011-04,0.173,
2011-07,0.171,
2011-10,0.181,
2012-01,0.186,
2012-04,0.202,
2012-07,0.202,
2012-10,0.212,
2013-01,0.184,
2013-04,0.199,
2013-07,0.192,
2013-10,0.189,
2014-01,0.198,
2014-04,0.190,
2014-07,0.186,
