"",BBQFS.Q.DE.BANK.SEC_SHRS_DIR.W1.CORP,BBQFS.Q.DE.BANK.SEC_SHRS_DIR.W1.CORP_FLAGS
"","Securities held by banks in Germany - shares issued by foreign non-financial corporations, held directly (FSR 2014)",
unit,¤ (hypothetically euro-based),
unit multiplier,billion,
last update,2015-01-07 17:09:37,
2002-01,16.89,
2002-04,11.45,
2002-07,10.14,
2002-10,11.01,
2003-01,7.92,
2003-04,12.88,
2003-07,11.23,
2003-10,12.69,
2004-01,12.35,
2004-04,13.65,
2004-07,9.75,
2004-10,11.78,
2005-01,11.30,
2005-04,14.23,
2005-07,15.71,
2005-10,21.58,
2006-01,19.82,
2006-04,16.06,
2006-07,22.11,
2006-10,26.22,
2007-01,29.64,
2007-04,34.28,
2007-07,32.35,
2007-10,27.31,
2008-01,18.63,
2008-04,7.77,
2008-07,8.60,
2008-10,4.32,
2009-01,3.30,
2009-04,2.65,
2009-07,2.30,
2009-10,4.55,
2010-01,-2.33,
2010-04,0.34,
2010-07,-1.52,
2010-10,-0.54,
2011-01,-2.50,
2011-04,2.14,
2011-07,-2.51,
2011-10,2.07,
2012-01,-2.88,
2012-04,-2.31,
2012-07,0.84,
2012-10,8.58,
2013-01,12.69,
2013-04,12.72,
2013-07,16.28,
2013-10,15.60,
2014-01,17.21,
2014-04,19.63,
2014-07,22.27,
"",Methodology: As reported in financial statements,
