"",BBK01.OEAF03T,BBK01.OEAF03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:03,
2002-01,5.579,
2002-04,5.598,
2002-07,5.594,
2002-10,5.668,
2003-01,5.595,
2003-04,5.665,
2003-07,5.714,
2003-10,5.793,
2004-01,5.850,
2004-04,5.875,
2004-07,5.899,
2004-10,5.908,
2005-01,6.619,
2005-04,6.647,
2005-07,6.674,
2005-10,6.662,
2006-01,6.649,
2006-04,6.690,
2006-07,6.746,
2006-10,6.842,
2007-01,6.839,
2007-04,6.916,
2007-07,6.840,
2007-10,6.772,
2008-01,6.668,
2008-04,6.588,
2008-07,6.606,
2008-10,6.560,
2009-01,6.455,
2009-04,6.670,
2009-07,6.697,
2009-10,6.392,
2010-01,5.504,
2010-04,6.667,
2010-07,6.864,
2010-10,6.761,
2011-01,6.827,
2011-04,6.813,
2011-07,6.831,
2011-10,6.828,
2012-01,6.806,
2012-04,6.854,
2012-07,6.908,
2012-10,6.947,
2013-01,6.958,
2013-04,7.029,
2013-07,7.081,
2013-10,7.056,
2014-01,7.055,
2014-04,7.094,
2014-07,7.212,
