"",BBFN1.M.DE.N.1.L.LU.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.LU.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Luxembourg,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:11:24,
1979-01,.,Value available later
1979-02,.,Value available later
1979-03,.,Value available later
1979-04,.,Value available later
1979-05,.,Value available later
1979-06,.,Value available later
1979-07,.,Value available later
1979-08,.,Value available later
1979-09,.,Value available later
1979-10,.,Value available later
1979-11,.,Value available later
1979-12,8.089,
1980-01,.,Value available later
1980-02,.,Value available later
1980-03,.,Value available later
1980-04,.,Value available later
1980-05,.,Value available later
1980-06,.,Value available later
1980-07,.,Value available later
1980-08,.,Value available later
1980-09,.,Value available later
1980-10,.,Value available later
1980-11,.,Value available later
1980-12,12.477,
1981-01,.,Value available later
1981-02,.,Value available later
1981-03,.,Value available later
1981-04,.,Value available later
1981-05,.,Value available later
1981-06,.,Value available later
1981-07,.,Value available later
1981-08,.,Value available later
1981-09,.,Value available later
1981-10,.,Value available later
1981-11,.,Value available later
1981-12,15.276,
1982-01,.,Value available later
1982-02,.,Value available later
1982-03,.,Value available later
1982-04,.,Value available later
1982-05,.,Value available later
1982-06,.,Value available later
1982-07,.,Value available later
1982-08,.,Value available later
1982-09,17.420,
1982-10,17.213,
1982-11,17.567,
1982-12,16.456,
1983-01,17.102,
1983-02,17.447,
1983-03,17.211,
1983-04,16.999,
1983-05,16.979,
1983-06,17.014,
1983-07,17.125,
1983-08,17.087,
1983-09,17.157,
1983-10,17.240,
1983-11,17.018,
1983-12,16.151,
1984-01,16.357,
1984-02,16.995,
1984-03,16.988,
1984-04,16.994,
1984-05,16.932,
1984-06,16.813,
1984-07,16.930,
1984-08,17.565,
1984-09,17.468,
1984-10,17.554,
1984-11,17.752,
1984-12,16.690,
1985-01,16.259,
1985-02,16.239,
1985-03,15.796,
1985-04,15.898,
1985-05,15.563,
1985-06,15.858,
1985-07,15.478,
1985-08,16.140,
1985-09,16.105,
1985-10,15.905,
1985-11,15.454,
1985-12,14.892,
1986-01,15.102,
1986-02,14.796,
1986-03,14.168,
1986-04,13.766,
1986-05,13.396,
1986-06,13.251,
1986-07,12.780,
1986-08,12.817,
1986-09,12.389,
1986-10,12.526,
1986-11,12.129,
1986-12,10.798,
1987-01,11.213,
1987-02,11.463,
1987-03,10.953,
1987-04,10.781,
1987-05,10.569,
1987-06,10.372,
1987-07,10.416,
1987-08,10.457,
1987-09,10.436,
1987-10,10.694,
1987-11,10.720,
1987-12,10.094,
1988-01,10.566,
1988-02,10.564,
1988-03,10.322,
1988-04,10.248,
1988-05,10.249,
1988-06,10.470,
1988-07,10.273,
1988-08,10.288,
1988-09,10.428,
1988-10,10.441,
1988-11,10.354,
1988-12,9.750,
1989-01,9.778,
1989-02,9.667,
1989-03,9.998,
1989-04,9.873,
1989-05,9.830,
1989-06,9.885,
1989-07,10.063,
1989-08,10.179,
1989-09,9.989,
1989-10,10.051,
1989-11,10.383,
1989-12,9.720,
1990-01,10.697,
1990-02,10.820,
1990-03,11.169,
1990-04,11.298,
1990-05,11.460,
1990-06,12.472,
1990-07,12.550,
1990-08,12.534,
1990-09,12.392,
1990-10,12.855,
1990-11,13.404,
1990-12,11.878,
1991-01,12.552,
1991-02,14.194,
1991-03,13.820,
1991-04,14.411,
1991-05,14.553,
1991-06,14.953,
1991-07,15.185,
1991-08,15.720,
1991-09,15.932,
1991-10,15.409,
1991-11,15.653,
1991-12,15.750,
1992-01,16.740,
1992-02,16.741,
1992-03,15.329,
1992-04,14.828,
1992-05,15.075,
1992-06,15.856,
1992-07,17.269,
1992-08,17.357,
1992-09,18.889,
1992-10,18.368,
1992-11,18.903,
1992-12,18.430,
1993-01,19.748,
1993-02,20.390,
1993-03,19.811,
1993-04,20.827,
1993-05,20.571,
1993-06,19.946,
1993-07,19.028,
1993-08,19.456,
1993-09,18.699,
1993-10,18.108,
1993-11,18.153,
1993-12,18.266,
1994-01,18.369,
1994-02,18.215,
1994-03,18.558,
1994-04,17.757,
1994-05,18.228,
1994-06,18.053,
1994-07,18.623,
1994-08,19.144,
1994-09,19.218,
1994-10,19.338,
1994-11,19.226,
1994-12,18.603,
1995-01,18.387,
1995-02,18.549,
1995-03,18.487,
1995-04,18.364,
1995-05,19.102,
1995-06,18.856,
1995-07,18.852,
1995-08,19.245,
1995-09,19.696,
1995-10,19.671,
1995-11,20.777,
1995-12,20.324,
1996-01,19.977,
1996-02,20.705,
1996-03,19.055,
1996-04,18.922,
1996-05,18.682,
1996-06,17.544,
1996-07,17.147,
1996-08,17.771,
1996-09,18.762,
1996-10,18.558,
1996-11,20.303,
1996-12,20.491,
1997-01,18.683,
1997-02,19.231,
1997-03,20.815,
1997-04,19.751,
1997-05,19.682,
1997-06,20.807,
1997-07,21.720,
1997-08,22.255,
1997-09,21.729,
1997-10,21.797,
1997-11,21.485,
1997-12,20.846,
1998-01,21.855,
1998-02,21.855,
1998-03,22.222,
1998-04,22.666,
1998-05,21.346,
1998-06,19.890,
1998-07,20.151,
1998-08,19.449,
1998-09,20.679,
1998-10,20.812,
1998-11,21.377,
1998-12,20.256,
1999-01,20.086,
1999-02,20.646,
1999-03,21.649,
1999-04,20.916,
1999-05,20.034,
1999-06,22.383,
1999-07,25.026,
1999-08,27.303,
1999-09,27.194,
1999-10,28.667,
1999-11,25.967,
1999-12,33.411,
2000-01,39.326,
2000-02,38.359,
2000-03,37.480,
2000-04,31.298,
2000-05,28.451,
2000-06,26.798,
2000-07,23.233,
2000-08,23.069,
2000-09,29.766,
2000-10,29.448,
2000-11,28.442,
2000-12,71.353,
2001-01,72.890,
2001-02,71.260,
2001-03,71.693,
2001-04,74.357,
2001-05,74.414,
2001-06,77.397,
2001-07,77.519,
2001-08,79.236,
2001-09,79.747,
2001-10,79.462,
2001-11,81.011,
2001-12,81.284,
2002-01,82.330,
2002-02,83.139,
2002-03,72.825,
2002-04,72.830,
2002-05,73.120,
2002-06,77.113,
2002-07,75.347,
2002-08,75.546,
2002-09,76.068,
2002-10,75.741,
2002-11,77.559,
2002-12,76.695,
2003-01,78.873,
2003-02,78.593,
2003-03,71.905,
2003-04,71.538,
2003-05,71.819,
2003-06,72.063,
2003-07,72.017,
2003-08,74.684,
2003-09,74.710,
2003-10,73.658,
2003-11,74.506,
2003-12,69.024,
2004-01,71.238,
2004-02,45.850,
2004-03,47.460,
2004-04,46.910,
2004-05,46.070,
2004-06,48.824,
2004-07,48.702,
2004-08,48.719,
2004-09,50.350,
2004-10,47.331,
2004-11,49.205,
2004-12,46.609,
2005-01,48.609,
2005-02,49.336,
2005-03,50.998,
2005-04,50.903,
2005-05,51.479,
2005-06,52.164,
2005-07,51.017,
2005-08,52.544,
2005-09,52.387,
2005-10,52.879,
2005-11,53.453,
2005-12,54.806,
2006-01,54.630,
2006-02,56.993,
2006-03,56.776,
2006-04,58.755,
2006-05,58.624,
2006-06,59.459,
