"",BBK01.OEHJ02K,BBK01.OEHJ02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:20,
2002-01,0.958,
2002-04,0.978,
2002-07,1.566,
2002-10,1.784,
2003-01,1.555,
2003-04,2.097,
2003-07,1.637,
2003-10,1.405,
2004-01,1.375,
2004-04,1.188,
2004-07,1.092,
2004-10,1.026,
2005-01,1.041,
2005-04,1.385,
2005-07,1.476,
2005-10,1.697,
2006-01,1.488,
2006-04,1.317,
2006-07,1.285,
2006-10,1.656,
2007-01,1.422,
2007-04,2.471,
2007-07,2.418,
2007-10,2.012,
2008-01,1.841,
2008-04,1.545,
2008-07,1.912,
2008-10,1.803,
2009-01,1.768,
2009-04,2.012,
2009-07,2.106,
2009-10,2.425,
2010-01,2.432,
2010-04,2.677,
2010-07,2.539,
2010-10,2.910,
2011-01,2.879,
2011-04,2.905,
2011-07,3.456,
2011-10,3.001,
2012-01,3.513,
2012-04,3.646,
2012-07,4.436,
2012-10,4.300,
2013-01,4.399,
2013-04,4.672,
2013-07,4.812,
2013-10,4.712,
2014-01,4.728,
2014-04,4.788,
2014-07,5.057,
