"",BBK01.OEYB09J,BBK01.OEYB09J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:50,
2002-01,3.225,
2002-04,3.297,
2002-07,3.465,
2002-10,3.554,
2003-01,3.658,
2003-04,3.582,
2003-07,3.593,
2003-10,3.564,
2004-01,3.649,
2004-04,3.738,
2004-07,3.783,
2004-10,4.270,
2005-01,4.039,
2005-04,4.250,
2005-07,4.299,
2005-10,4.438,
2006-01,4.654,
2006-04,4.608,
2006-07,4.745,
2006-10,3.352,
2007-01,3.507,
2007-04,3.613,
2007-07,3.813,
2007-10,3.791,
2008-01,3.889,
2008-04,4.061,
2008-07,4.045,
2008-10,4.018,
2009-01,3.907,
2009-04,3.946,
2009-07,4.006,
2009-10,3.981,
2010-01,3.972,
2010-04,7.329,
2010-07,7.086,
2010-10,7.315,
2011-01,7.186,
2011-04,6.962,
2011-07,6.958,
2011-10,7.035,
2012-01,6.404,
2012-04,6.867,
2012-07,6.966,
2012-10,6.921,
2013-01,6.900,
2013-04,6.778,
2013-07,7.099,
2013-10,6.799,
2014-01,6.578,
2014-04,6.572,
2014-07,6.642,
