"",BBK01.CEFE0C,BBK01.CEFE0C_FLAGS
"",short-term loans                                              debtor: Total           creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:28,
1999-01,2.1,
1999-04,2.1,
1999-07,2.1,
1999-10,2.1,
2000-01,2.1,
2000-04,2.1,
2000-07,2.1,
2000-10,2.1,
2001-01,2.1,
2001-04,2.1,
2001-07,2.1,
2001-10,2.1,
2002-01,2.2,
2002-04,2.2,
2002-07,2.2,
2002-10,2.2,
2003-01,2.2,
2003-04,2.1,
2003-07,2.1,
2003-10,2.1,
2004-01,2.1,
2004-04,2.1,
2004-07,2.1,
2004-10,2.0,
2005-01,1.7,
2005-04,1.6,
2005-07,5.3,
2005-10,1.3,
2006-01,1.3,
2006-04,1.7,
2006-07,3.4,
2006-10,2.4,
2007-01,1.5,
2007-04,2.8,
2007-07,3.2,
2007-10,4.6,
2008-01,3.1,
2008-04,7.4,
2008-07,5.9,
2008-10,17.3,
2009-01,15.9,
2009-04,17.3,
2009-07,21.7,
2009-10,19.2,
2010-01,20.6,
2010-04,30.2,
2010-07,24.8,
2010-10,26.0,
2011-01,34.7,
2011-04,46.8,
2011-07,34.0,
2011-10,17.5,
2012-01,21.2,
2012-04,44.1,
2012-07,31.9,
2012-10,37.9,
2013-01,42.7,
2013-04,43.0,
2013-07,37.3,
2013-10,40.2,
2014-01,38.5,
2014-04,40.7,
2014-07,38.7,
