"",BBSF2.M.1.T.00000.GEM01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEM01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Mixed securities funds / Net sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:03,
2009-09,1464,
2009-10,5756,
2009-11,1,
2009-12,208,
2010-01,411,
2010-02,1177,
2010-03,1624,
2010-04,3190,
2010-05,1704,
2010-06,4186,
2010-07,2543,
2010-08,2018,
2010-09,548,
2010-10,3346,
2010-11,2337,
2010-12,2887,
2011-01,2864,
2011-02,3538,
2011-03,844,
2011-04,127,
2011-05,-508,
2011-06,150,
2011-07,298,
2011-08,-1608,
2011-09,-835,
2011-10,-176,
2011-11,1694,
2011-12,-189,
2012-01,-3576,
2012-02,4663,
2012-03,266,
2012-04,1962,
2012-05,394,
2012-06,612,
2012-07,475,
2012-08,724,
2012-09,2235,
2012-10,1799,
2012-11,3252,
2012-12,6374,
2013-01,2636,
2013-02,5551,
2013-03,4517,
2013-04,1936,
2013-05,2085,
2013-06,3046,
2013-07,4029,
2013-08,1454,
2013-09,1025,
2013-10,1954,
2013-11,-2209,
2013-12,5999,
2014-01,926,
2014-02,3189,
2014-03,1381,
2014-04,829,
2014-05,2331,
2014-06,163,
2014-07,4410,
2014-08,5186,
2014-09,809,
2014-10,1946,
2014-11,2312,
