"",BBK01.OEYB20O,BBK01.OEYB20O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:46,
2002-01,13.775,
2002-04,13.941,
2002-07,14.175,
2002-10,14.622,
2003-01,14.512,
2003-04,15.074,
2003-07,11.593,
2003-10,12.253,
2004-01,12.470,
2004-04,12.939,
2004-07,13.193,
2004-10,13.343,
2005-01,13.408,
2005-04,13.484,
2005-07,13.667,
2005-10,13.810,
2006-01,14.049,
2006-04,14.201,
2006-07,14.365,
2006-10,14.340,
2007-01,14.397,
2007-04,14.399,
2007-07,14.420,
2007-10,14.277,
2008-01,14.250,
2008-04,14.377,
2008-07,14.406,
2008-10,14.225,
2009-01,14.111,
2009-04,14.017,
2009-07,14.022,
2009-10,13.922,
2010-01,13.711,
2010-04,13.013,
2010-07,12.882,
2010-10,12.720,
2011-01,12.572,
2011-04,12.385,
2011-07,12.229,
2011-10,12.004,
2012-01,12.101,
2012-04,11.845,
2012-07,11.760,
2012-10,11.645,
2013-01,11.479,
2013-04,11.247,
2013-07,11.179,
2013-10,11.068,
2014-01,10.998,
2014-04,10.836,
2014-07,10.782,
