"",BBK01.OEHL01J,BBK01.OEHL01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:27,
2002-01,5.031,
2002-04,5.015,
2002-07,4.977,
2002-10,5.130,
2003-01,5.149,
2003-04,5.135,
2003-07,5.116,
2003-10,5.211,
2004-01,5.228,
2004-04,5.252,
2004-07,5.769,
2004-10,5.433,
2005-01,5.492,
2005-04,5.520,
2005-07,5.510,
2005-10,5.638,
2006-01,5.693,
2006-04,5.692,
2006-07,5.635,
2006-10,5.651,
2007-01,5.582,
2007-04,5.585,
2007-07,5.519,
2007-10,5.592,
2008-01,5.499,
2008-04,5.431,
2008-07,5.282,
2008-10,5.448,
2009-01,5.490,
2009-04,5.418,
2009-07,5.367,
2009-10,5.367,
2010-01,5.325,
2010-04,5.275,
2010-07,5.234,
2010-10,5.227,
2011-01,5.152,
2011-04,5.172,
2011-07,5.141,
2011-10,5.183,
2012-01,5.221,
2012-04,5.300,
2012-07,5.358,
2012-10,5.507,
2013-01,5.570,
2013-04,5.607,
2013-07,5.658,
2013-10,5.742,
2014-01,5.839,
2014-04,5.859,
2014-07,5.802,
