"",BBFB1.Q.N.DE.S3.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.S3.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Near and Middle East countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:02,
1991-01,-698.988,
1991-04,-506.534,
1991-07,-95.992,
1991-10,-43.405,
1992-01,-85.481,
1992-04,-174.558,
1992-07,-281.849,
1992-10,-288.005,
1993-01,-66.720,
1993-04,-266.192,
1993-07,-132.100,
1993-10,-171.180,
1994-01,-39.499,
1994-04,72.908,
1994-07,-50.661,
1994-10,-89.797,
1995-01,-1.537,
1995-04,-26.077,
1995-07,-10.081,
1995-10,-80.662,
1996-01,-3.162,
1996-04,-53.491,
1996-07,-1.601,
1996-10,-2.917,
1997-01,-0.228,
1997-04,-2.390,
1997-07,-1.397,
1997-10,-1.734,
1998-01,-0.923,
1998-04,-0.791,
1998-07,-1.133,
1998-10,-2.183,
1999-01,-1.203,
1999-04,-0.161,
1999-07,-0.724,
1999-10,-0.397,
2000-01,-9.250,
2000-04,-0.699,
2000-07,0.060,
2000-10,-36.435,
2001-01,-0.225,
2001-04,-0.833,
2001-07,-4.701,
2001-10,-4.026,
2002-01,-0.310,
2002-04,-,Nothing exists
2002-07,0.031,
2002-10,1.607,
2003-01,-0.552,
2003-04,-0.313,
2003-07,-6.923,
2003-10,44.557,
2004-01,0.950,
2004-04,-0.330,
2004-07,-1.160,
2004-10,7.266,
2005-01,-3.195,
2005-04,-0.037,
2005-07,-2.182,
2005-10,-3.774,
2006-01,-3.748,
2006-04,-1.267,
2006-07,-0.681,
2006-10,-3.545,
2007-01,-8.284,
2007-04,-1.505,
2007-07,-2.528,
2007-10,-39.026,
2008-01,-6.427,
2008-04,-6.601,
2008-07,-2.442,
2008-10,7.814,
2009-01,-5.054,
2009-04,-5.424,
2009-07,-6.211,
2009-10,-10.353,
2010-01,-0.950,
2010-04,-5.130,
2010-07,-0.263,
2010-10,171.973,
2011-01,3.223,
2011-04,-120.963,
2011-07,-1.739,
2011-10,-49.277,
2012-01,3.968,
2012-04,-1.394,
2012-07,0.754,
2012-10,1.858,
2013-01,354.186,
2013-04,205.498,
2013-07,-387.964,
2013-10,-804.222,
2014-01,-16.171,Provisional value
2014-04,-105.256,Provisional value
2014-07,138.163,Provisional value
2014-10,110.496,Provisional value
