"",BBK01.OEAC24K,BBK01.OEAC24K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:16,
2002-01,7.915,
2002-04,7.975,
2002-07,7.614,
2002-10,8.570,
2003-01,8.111,
2003-04,8.268,
2003-07,8.050,
2003-10,8.859,
2004-01,8.220,
2004-04,7.247,
2004-07,5.672,
2004-10,5.971,
2005-01,5.179,
2005-04,5.277,
2005-07,4.968,
2005-10,6.032,
2006-01,5.269,
2006-04,5.471,
2006-07,5.941,
2006-10,6.796,
2007-01,5.949,
2007-04,5.158,
2007-07,5.745,
2007-10,5.568,
2008-01,5.827,
2008-04,6.209,
2008-07,6.454,
2008-10,5.597,
2009-01,5.501,
2009-04,5.494,
2009-07,4.996,
2009-10,4.777,
2010-01,4.770,
2010-04,4.836,
2010-07,5.110,
2010-10,4.962,
2011-01,5.051,
2011-04,4.882,
2011-07,4.806,
2011-10,4.819,
2012-01,5.082,
2012-04,4.892,
2012-07,5.171,
2012-10,5.133,
2013-01,5.049,
2013-04,5.110,
2013-07,5.412,
2013-10,5.086,
2014-01,5.027,
2014-04,5.571,
2014-07,4.782,
