"",BBSF2.M.1.P.00000.TOT01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Number outstanding,
unit,Stueck (hypothetically euro-based),
unit multiplier,thousand,
last update,2014-12-29 10:36:26,
1970-01,224225,
1970-02,229449,
1970-03,233928,
1970-04,237333,
1970-05,238245,
1970-06,242988,
1970-07,246435,
1970-08,251863,
1970-09,254725,
1970-10,256025,
1970-11,259783,
1970-12,263964,
1971-01,268342,
1971-02,272775,
1971-03,276147,
1971-04,279291,
1971-05,281697,
1971-06,284114,
1971-07,286508,
1971-08,289578,
1971-09,291778,
1971-10,295386,
1971-11,300501,
1971-12,305208,
1972-01,310924,
1972-02,320519,
1972-03,327734,
1972-04,337805,
1972-05,342020,
1972-06,350046,
1972-07,359064,
1972-08,370222,
1972-09,376847,
1972-10,383860,
1972-11,394022,
1972-12,401638,
1973-01,410445,
1973-02,423001,
1973-03,429518,
1973-04,434942,
1973-05,438033,
1973-06,440927,
1973-07,442759,
1973-08,447992,
1973-09,449883,
1973-10,452720,
1973-11,458531,
1973-12,460342,
1974-01,461745,
1974-02,464121,
1974-03,462575,
1974-04,461603,
1974-05,460961,
1974-06,460909,
1974-07,458346,
1974-08,461994,
1974-09,461033,
1974-10,460462,
1974-11,464996,
1974-12,468222,
1975-01,471697,
1975-02,479336,
1975-03,481406,
1975-04,484374,
1975-05,486879,
1975-06,491378,
1975-07,490322,
1975-08,497068,
1975-09,499138,
1975-10,502081,
1975-11,513734,
1975-12,518148,
1976-01,524245,
1976-02,535311,
1976-03,545079,
1976-04,551864,
1976-05,556571,
1976-06,562013,
1976-07,565451,
1976-08,580531,
1976-09,589688,
1976-10,600646,
1976-11,629051,
1976-12,647858,
1977-01,668150,
1977-02,684446,
1977-03,700689,
1977-04,716417,
1977-05,730341,
1977-06,738706,
1977-07,747783,
1977-08,776160,
1977-09,787731,
1977-10,797480,
1977-11,824571,
1977-12,844865,
1978-01,876182,
1978-02,905105,
1978-03,926301,
1978-04,938207,
1978-05,942376,
1978-06,946056,
1978-07,942116,
1978-08,961402,
1978-09,964418,
1978-10,963530,
1978-11,977352,
1978-12,986285,
1979-01,994339,
1979-02,1005310,
1979-03,1008474,
1979-04,1010081,
1979-05,1008853,
1979-06,1002143,
1979-07,1002971,
1979-08,1020861,
1979-09,1021156,
1979-10,1018913,
1979-11,1023865,
1979-12,1024314,
1980-01,1019554,
1980-02,1014641,
1980-03,998693,
1980-04,993537,
1980-05,988756,
1980-06,983381,
1980-07,976956,
1980-08,987995,
1980-09,983048,
1980-10,977931,
1980-11,977199,
1980-12,972541,
1981-01,968771,
1981-02,960300,
1981-03,949557,
1981-04,940205,
1981-05,926945,
1981-06,915673,
1981-07,902906,
1981-08,901525,
1981-09,892494,
1981-10,888382,
1981-11,891244,
1981-12,887201,
1982-01,884344,
1982-02,880507,
1982-03,878114,
1982-04,876698,
1982-05,874947,
1982-06,871438,
1982-07,865421,
1982-08,880837,
1982-09,882481,
1982-10,882980,
1982-11,893889,
1982-12,898383,
1983-01,896755,
1983-02,912082,
1983-03,923958,
1983-04,925791,
1983-05,923492,
1983-06,919315,
1983-07,915662,
1983-08,927196,
1983-09,927391,
1983-10,930148,
1983-11,938085,
1983-12,941044,
1984-01,944383,
1984-02,957085,
1984-03,961458,
1984-04,963666,
1984-05,962792,
1984-06,965152,
1984-07,965036,
1984-08,981885,
1984-09,985213,
1984-10,986884,
1984-11,1010427,
1984-12,1022547,
1985-01,1034521,
1985-02,1047947,
1985-03,1048358,
1985-04,1056884,
1985-05,1065894,
1985-06,1072232,
1985-07,1081172,
1985-08,1113887,
1985-09,1123285,
1985-10,1138145,
1985-11,1168908,
1985-12,1187533,
1986-01,1210058,
1986-02,1243322,
1986-03,1266819,
1986-04,1293841,
1986-05,1308033,
1986-06,1323597,
1986-07,1336670,
1986-08,1373793,
1986-09,1387154,
1986-10,1397391,
1986-11,1425051,
1986-12,1446382,
1987-01,1476302,
1987-02,1507875,
