"",BBK01.OEAA45U,BBK01.OEAA45U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:57,
2002-01,4.238,
2002-04,4.319,
2002-07,4.338,
2002-10,4.500,
2003-01,4.532,
2003-04,4.533,
2003-07,4.462,
2003-10,4.454,
2004-01,4.467,
2004-04,4.464,
2004-07,4.506,
2004-10,4.534,
2005-01,4.680,
2005-04,4.683,
2005-07,4.646,
2005-10,4.737,
2006-01,4.801,
2006-04,4.814,
2006-07,4.848,
2006-10,4.785,
2007-01,4.718,
2007-04,4.632,
2007-07,4.581,
2007-10,4.588,
2008-01,4.545,
2008-04,4.527,
2008-07,4.519,
2008-10,4.684,
2009-01,4.655,
2009-04,4.641,
2009-07,4.679,
2009-10,4.619,
2010-01,4.587,
2010-04,4.511,
2010-07,4.574,
2010-10,4.577,
2011-01,4.489,
2011-04,4.487,
2011-07,4.457,
2011-10,4.416,
2012-01,4.477,
2012-04,4.428,
2012-07,4.391,
2012-10,4.389,
2013-01,4.964,
2013-04,5.001,
2013-07,5.095,
2013-10,5.154,
2014-01,5.194,
2014-04,5.117,
2014-07,5.049,
