"",BBK01.CEFFN0,BBK01.CEFFN0_FLAGS
"",long-term loans                                            debtor: Rest of the world                  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:26,
1999-01,216.0,
1999-04,228.9,
1999-07,236.8,
1999-10,250.9,
2000-01,259.3,
2000-04,269.6,
2000-07,286.3,
2000-10,294.9,
2001-01,310.1,
2001-04,323.4,
2001-07,320.4,
2001-10,335.9,
2002-01,350.3,
2002-04,339.4,
2002-07,341.2,
2002-10,337.9,
2003-01,342.9,
2003-04,335.6,
2003-07,333.6,
2003-10,326.9,
2004-01,327.4,
2004-04,332.3,
2004-07,328.3,
2004-10,323.1,
2005-01,333.3,
2005-04,341.1,
2005-07,339.3,
2005-10,343.0,
2006-01,346.7,
2006-04,346.6,
2006-07,342.2,
2006-10,343.1,
2007-01,346.7,
2007-04,363.6,
2007-07,379.7,
2007-10,378.3,
2008-01,411.9,
2008-04,443.6,
2008-07,481.8,
2008-10,491.8,
2009-01,496.9,
2009-04,490.2,
2009-07,502.5,
2009-10,507.3,
2010-01,523.5,
2010-04,551.3,
2010-07,530.6,
2010-10,542.9,
2011-01,528.9,
2011-04,516.1,
2011-07,531.2,
2011-10,565.1,
2012-01,571.2,
2012-04,592.4,
2012-07,591.9,
2012-10,604.1,
2013-01,608.9,
2013-04,616.2,
2013-07,609.8,
2013-10,599.5,
2014-01,584.9,
2014-04,587.0,
2014-07,606.0,
