"",BBK01.OEXL08I,BBK01.OEXL08I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:33,
2002-01,2.897,
2002-04,2.817,
2002-07,2.768,
2002-10,2.834,
2003-01,2.818,
2003-04,2.761,
2003-07,1.876,
2003-10,1.911,
2004-01,1.917,
2004-04,1.898,
2004-07,1.871,
2004-10,1.881,
2005-01,1.883,
2005-04,1.871,
2005-07,1.860,
2005-10,1.918,
2006-01,1.931,
2006-04,1.898,
2006-07,1.840,
2006-10,2.330,
2007-01,2.494,
2007-04,2.484,
2007-07,2.586,
2007-10,2.645,
2008-01,2.620,
2008-04,2.625,
2008-07,2.649,
2008-10,3.066,
2009-01,3.038,
2009-04,3.024,
2009-07,3.122,
2009-10,3.125,
2010-01,2.917,
2010-04,2.788,
2010-07,2.260,
2010-10,2.284,
2011-01,2.204,
2011-04,2.095,
2011-07,2.074,
2011-10,2.153,
2012-01,2.187,
2012-04,2.180,
2012-07,2.206,
2012-10,2.289,
2013-01,2.298,
2013-04,2.323,
2013-07,2.371,
2013-10,2.424,
2014-01,2.443,
2014-04,2.513,
2014-07,2.528,
