"",BBK01.OECK03N,BBK01.OECK03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:52,
2002-01,1.571,
2002-04,1.597,
2002-07,1.622,
2002-10,1.728,
2003-01,1.643,
2003-04,1.537,
2003-07,1.488,
2003-10,1.323,
2004-01,1.243,
2004-04,1.201,
2004-07,1.103,
2004-10,1.183,
2005-01,1.109,
2005-04,1.067,
2005-07,1.113,
2005-10,1.201,
2006-01,1.223,
2006-04,1.308,
2006-07,1.334,
2006-10,1.417,
2007-01,1.488,
2007-04,1.573,
2007-07,1.789,
2007-10,2.032,
2008-01,2.088,
2008-04,2.158,
2008-07,2.248,
2008-10,2.203,
2009-01,1.633,
2009-04,1.345,
2009-07,1.138,
2009-10,0.966,
2010-01,0.772,
2010-04,0.686,
2010-07,0.595,
2010-10,0.598,
2011-01,0.778,
2011-04,0.845,
2011-07,0.832,
2011-10,0.914,
2012-01,0.858,
2012-04,0.832,
2012-07,0.742,
2012-10,0.698,
2013-01,0.621,
2013-04,0.634,
2013-07,0.625,
2013-10,0.624,
2014-01,0.682,
2014-04,0.734,
2014-07,0.723,
