"",BBK01.TYI322,BBK01.TYI322_FLAGS
"",Monetary capital formation at monetary financial institutions (MFIs) in the euro area / Capital and reserves / German contribution  / Changes,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:56,
1980-01,0,
1980-02,68,
1980-03,331,
1980-04,232,
1980-05,375,
1980-06,588,
1980-07,115,
1980-08,58,
1980-09,88,
1980-10,56,
1980-11,167,
1980-12,136,
1981-01,132,
1981-02,178,
1981-03,336,
1981-04,1024,
1981-05,405,
1981-06,506,
1981-07,405,
1981-08,67,
1981-09,146,
1981-10,56,
1981-11,57,
1981-12,134,
1982-01,188,
1982-02,114,
1982-03,382,
1982-04,1479,
1982-05,475,
1982-06,369,
1982-07,766,
1982-08,49,
1982-09,43,
1982-10,222,
1982-11,166,
1982-12,205,
1983-01,240,
1983-02,239,
1983-03,490,
1983-04,463,
1983-05,489,
1983-06,323,
1983-07,276,
1983-08,30,
1983-09,122,
1983-10,2,
1983-11,166,
1983-12,184,
1984-01,238,
1984-02,419,
1984-03,853,
1984-04,634,
1984-05,637,
1984-06,616,
1984-07,231,
1984-08,109,
1984-09,151,
1984-10,39,
1984-11,24,
1984-12,369,
1985-01,117,
1985-02,585,
1985-03,810,
1985-04,347,
1985-05,683,
1985-06,625,
1985-07,526,
1985-08,55,
1985-09,221,
1985-10,644,
1985-11,24,
1985-12,-354,
1986-01,1375,
1986-02,525,
1986-03,1184,
1986-04,1030,
1986-05,457,
1986-06,650,
1986-07,310,
1986-08,218,
1986-09,127,
1986-10,-334,
1986-11,173,
1986-12,146,
1987-01,285,
1987-02,55,
1987-03,788,
1987-04,585,
1987-05,648,
1987-06,828,
1987-07,333,
1987-08,70,
1987-09,157,
1987-10,54,
1987-11,407,
1987-12,330,
1988-01,499,
1988-02,163,
1988-03,491,
1988-04,546,
1988-05,366,
1988-06,534,
1988-07,173,
1988-08,166,
1988-09,98,
1988-10,-211,
1988-11,-17,
1988-12,438,
1989-01,102,
1989-02,591,
1989-03,1055,
1989-04,1162,
1989-05,621,
1989-06,652,
1989-07,392,
1989-08,62,
1989-09,33,
1989-10,1154,
1989-11,676,
1989-12,448,
1990-01,-255,
1990-02,561,
1990-03,1371,
1990-04,224,
1990-05,874,
1990-06,223,
1990-07,771,
1990-08,-91,
1990-09,455,
1990-10,-20,
1990-11,645,
1990-12,-788,
1991-01,486,
1991-02,93,
1991-03,1511,
1991-04,1031,
1991-05,762,
1991-06,1391,
1991-07,792,
1991-08,230,
1991-09,2158,
1991-10,904,
1991-11,251,
1991-12,208,
1992-01,2023,
1992-02,1132,
1992-03,1096,
1992-04,502,
1992-05,1333,
1992-06,1849,
1992-07,1203,
1992-08,319,
1992-09,198,
1992-10,50,
1992-11,320,
1992-12,1751,
1993-01,49,
1993-02,6,
1993-03,281,
1993-04,586,
1993-05,3029,
1993-06,1750,
1993-07,239,
1993-08,-1063,
1993-09,789,
1993-10,11,
1993-11,689,
1993-12,411,
1994-01,887,
1994-02,2864,
1994-03,940,
1994-04,-228,
1994-05,1652,
1994-06,2139,
1994-07,770,
1994-08,438,
1994-09,383,
1994-10,-895,
1994-11,-160,
1994-12,461,
1995-01,120,
1995-02,197,
1995-03,-1670,
1995-04,704,
1995-05,1996,
1995-06,2210,
1995-07,860,
1995-08,208,
1995-09,685,
1995-10,718,
1995-11,443,
1995-12,935,
1996-01,569,
1996-02,845,
1996-03,-144,
1996-04,-391,
1996-05,1655,
1996-06,3753,
1996-07,908,
1996-08,455,
1996-09,-751,
1996-10,75,
1996-11,684,
1996-12,659,
1997-01,1154,
1997-02,779,
1997-03,-794,
1997-04,123,
1997-05,-80,
1997-06,4499,
1997-07,1152,
1997-08,1554,
1997-09,1566,
1997-10,773,
1997-11,1325,
1997-12,1776,
1998-01,1486,
1998-02,1413,
1998-03,-885,
1998-04,-134,
1998-05,27,
1998-06,5473,
1998-07,2690,
1998-08,-986,
1998-09,1403,
1998-10,-311,
1998-11,667,
1998-12,1441,
1999-01,1183,
1999-02,3691,
1999-03,732,
1999-04,3903,
1999-05,3506,
1999-06,5165,
1999-07,437,
1999-08,1078,
1999-09,-995,
1999-10,1664,
1999-11,999,
1999-12,2185,
2000-01,2131,
2000-02,294,
2000-03,-1816,
2000-04,1322,
2000-05,-1801,
2000-06,6289,
2000-07,1758,
2000-08,479,
2000-09,5190,
2000-10,148,
2000-11,1609,
2000-12,-7485,
2001-01,-712,
2001-02,1935,
2001-03,756,
2001-04,-3305,
2001-05,2839,
2001-06,10614,
2001-07,122,
2001-08,4562,
2001-09,-2304,
2001-10,3419,
2001-11,1333,
2001-12,2454,
2002-01,1893,
2002-02,1578,
2002-03,861,
2002-04,-2368,
2002-05,-353,
2002-06,-1875,
2002-07,2401,
2002-08,3716,
2002-09,498,
2002-10,-690,
2002-11,1908,
2002-12,2424,
2003-01,3856,
2003-02,-1498,
2003-03,2592,
2003-04,1495,
2003-05,-4359,
2003-06,2379,
2003-07,999,
2003-08,1843,
2003-09,-4805,
2003-10,159,
2003-11,-97,
2003-12,189,
2004-01,-2697,
2004-02,-6537,
2004-03,184,
2004-04,3420,
2004-05,-3296,
2004-06,5977,
2004-07,3874,
2004-08,-4318,
2004-09,-733,
2004-10,1095,
2004-11,-2037,
2004-12,2541,
2005-01,1296,
2005-02,-4469,
2005-03,293,
2005-04,4189,
2005-05,682,
2005-06,5292,
2005-07,2945,
2005-08,559,
2005-09,-1700,
2005-10,4226,
2005-11,2753,
2005-12,877,
2006-01,427,
2006-02,5164,
2006-03,3201,
2006-04,1221,
2006-05,-4612,
2006-06,4508,
2006-07,8888,
2006-08,-2643,
2006-09,-3303,
2006-10,3967,
2006-11,-4268,
2006-12,-656,
2007-01,11252,
2007-02,3543,
2007-03,-1434,
2007-04,2177,
2007-05,-8602,
2007-06,10689,
2007-07,8545,
2007-08,-1836,
2007-09,-1384,
2007-10,14,
2007-11,-3184,
2007-12,1762,
2008-01,370,
2008-02,-131,
2008-03,7737,
2008-04,-311,
2008-05,-6785,
2008-06,3953,
2008-07,6887,
2008-08,2313,
2008-09,2944,
2008-10,2922,
2008-11,1693,
2008-12,11063,
2009-01,-2806,
2009-02,-10688,
2009-03,404,
2009-04,-6539,
2009-05,-3625,
2009-06,22966,
2009-07,-241,
2009-08,-2911,
2009-09,917,
2009-10,-678,
2009-11,5957,
2009-12,635,
2010-01,-6663,
2010-02,-383,
2010-03,-893,
2010-04,-1352,
2010-05,-11643,
2010-06,-941,
2010-07,8127,
2010-08,-1650,
2010-09,740,
2010-10,10153,
2010-11,812,
2010-12,352,
2011-01,6540,
2011-02,3894,
2011-03,2451,
2011-04,1448,
2011-05,-6418,
2011-06,2763,
2011-07,1512,
2011-08,1517,
2011-09,-1491,
2011-10,1968,
2011-11,-1255,
2011-12,-2598,
2012-01,856,
2012-02,4913,
2012-03,5072,
2012-04,798,
2012-05,-2749,
2012-06,6964,
2012-07,2465,
2012-08,663,
2012-09,499,
2012-10,-583,
2012-11,-365,
2012-12,752,
2013-01,794,
2013-02,1817,
2013-03,5279,
2013-04,3274,
2013-05,3420,
2013-06,8210,
2013-07,-472,
2013-08,191,
2013-09,215,
2013-10,-89,
2013-11,450,
2013-12,882,
2014-01,380,
2014-02,352,
2014-03,653,
2014-04,135,
2014-05,3939,
2014-06,12722,
2014-07,3063,
2014-08,481,
2014-09,1465,
2014-10,108,
2014-11,1753,
2014-12,-2248,
2015-01,909,
