"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.NL.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.NL.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / Netherlands,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:15,
2009-09,46230,
2009-10,46547,
2009-11,47932,
2009-12,48694,
2010-01,53956,
2010-02,54321,
2010-03,55094,
2010-04,51631,
2010-05,52069,
2010-06,52993,
2010-07,53646,
2010-08,54692,
2010-09,54877,
2010-10,54791,
2010-11,53887,
2010-12,54933,
2011-01,55137,
2011-02,55230,
2011-03,55533,
2011-04,55329,
2011-05,55370,
2011-06,55083,
2011-07,55445,
2011-08,55957,
2011-09,55799,
2011-10,57087,
2011-11,55621,
2011-12,56891,
2012-01,57488,
2012-02,58332,
2012-03,59558,
2012-04,59478,
2012-05,60270,
2012-06,60729,
2012-07,63695,
2012-08,64942,
2012-09,65426,
2012-10,65308,
2012-11,65409,
2012-12,65856,
2013-01,65014,
2013-02,64978,
2013-03,66349,
2013-04,67313,
2013-05,67924,
2013-06,66288,
2013-07,67137,
2013-08,66874,
2013-09,67214,
2013-10,67850,
2013-11,67514,
2013-12,66803,
2014-01,67366,
2014-02,67488,
2014-03,69374,
2014-04,69729,
2014-05,70660,
2014-06,70043,
2014-07,70132,
2014-08,71370,
2014-09,70444,
2014-10,69970,
2014-11,69987,
