"",BBK01.OELO04S,BBK01.OELO04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:37,
2002-01,-0.013,
2002-04,-0.021,
2002-07,0.013,
2002-10,0.029,
2003-01,0.035,
2003-04,-0.023,
2003-07,0.004,
2003-10,0.006,
2004-01,0.012,
2004-04,-0.007,
2004-07,-0.028,
2004-10,-0.015,
2005-01,-0.027,
2005-04,-0.026,
2005-07,-0.012,
2005-10,-0.003,
2006-01,-0.005,
2006-04,-0.041,
2006-07,-0.018,
2006-10,-0.026,
2007-01,-0.039,
2007-04,-0.041,
2007-07,-0.012,
2007-10,-0.015,
2008-01,-0.017,
2008-04,-0.042,
2008-07,-0.025,
2008-10,-0.007,
2009-01,0.008,
2009-04,-0.002,
2009-07,-0.001,
2009-10,0.036,
2010-01,-,Nothing exists
2010-04,-,Nothing exists
2010-07,0.005,
2010-10,0.014,
2011-01,0.002,
2011-04,-0.015,
2011-07,-0.005,
2011-10,0.001,
2012-01,-0.009,
2012-04,-0.011,
2012-07,0.001,
2012-10,0.013,
2013-01,0.008,
2013-04,-0.008,
2013-07,-0.002,
2013-10,0.005,
2014-01,0.009,
2014-04,-0.007,
2014-07,-0.010,
