"",BBK01.OELI08P,BBK01.OELI08P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:13,
2002-01,2.542,
2002-04,2.500,
2002-07,2.352,
2002-10,2.411,
2003-01,2.556,
2003-04,2.596,
2003-07,2.596,
2003-10,2.701,
2004-01,2.728,
2004-04,2.770,
2004-07,2.767,
2004-10,2.808,
2005-01,2.780,
2005-04,2.760,
2005-07,2.733,
2005-10,2.744,
2006-01,2.672,
2006-04,2.651,
2006-07,2.623,
2006-10,2.629,
2007-01,2.578,
2007-04,2.538,
2007-07,2.423,
2007-10,2.364,
2008-01,2.288,
2008-04,2.234,
2008-07,2.155,
2008-10,2.228,
2009-01,2.272,
2009-04,2.290,
2009-07,2.320,
2009-10,2.357,
2010-01,2.359,
2010-04,2.347,
2010-07,2.389,
2010-10,2.465,
2011-01,2.553,
2011-04,2.651,
2011-07,2.644,
2011-10,2.664,
2012-01,2.656,
2012-04,2.629,
2012-07,2.563,
2012-10,2.556,
2013-01,2.455,
2013-04,2.461,
2013-07,2.450,
2013-10,2.507,
2014-01,2.558,
2014-04,2.525,
2014-07,2.483,
