"",BBK01.CEL001,BBK01.CEL001_FLAGS
"",Acquisition of financial assets total                                    debtor: Total            creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:36,
1999-01,32.8,
1999-04,10.3,
1999-07,63.5,
1999-10,116.6,
2000-01,-26.0,
2000-04,82.9,
2000-07,32.0,
2000-10,172.2,
2001-01,7.6,
2001-04,27.6,
2001-07,64.8,
2001-10,35.3,
2002-01,11.4,
2002-04,10.7,
2002-07,40.9,
2002-10,22.5,
2003-01,34.2,
2003-04,17.4,
2003-07,13.5,
2003-10,11.1,
2004-01,-36.0,
2004-04,27.1,
2004-07,24.9,
2004-10,4.7,
2005-01,-28.3,
2005-04,55.7,
2005-07,29.9,
2005-10,-19.8,
2006-01,83.3,
2006-04,40.7,
2006-07,58.1,
2006-10,97.7,
2007-01,16.9,
2007-04,27.6,
2007-07,95.6,
2007-10,105.4,
2008-01,-5.7,
2008-04,2.1,
2008-07,19.1,
2008-10,-55.3,
2009-01,-8.6,
2009-04,65.9,
2009-07,3.0,
2009-10,2.7,
2010-01,29.5,
2010-04,3.8,
2010-07,54.1,
2010-10,60.8,
2011-01,74.1,
2011-04,11.2,
2011-07,-30.2,
2011-10,69.4,
2012-01,14.9,
2012-04,-18.2,
2012-07,69.0,
2012-10,95.6,
2013-01,19.0,
2013-04,-9.4,
2013-07,124.0,
2013-10,17.1,
2014-01,9.4,
2014-04,-22.1,
2014-07,50.3,
