"",BBEX3.M.BTN.USD.CA.AC.A01,BBEX3.M.BTN.USD.CA.AC.A01_FLAGS
2014-07,60.1800,
2014-08,60.5800,
2014-09,61.0950,
2014-10,61.4850,
2014-11,61.9450,
2014-12,63.6100,
2015-01,61.9600,
2015-02,61.8950,
"",General: The Indian rupee is likewise legal tender alongside the Bhutanese ngultrum (convertible at par).,
"","Source: Since March 2010: Calculated on the basis of the buying and selling rates of the Bhutan National Bank Limited, Thimphu. 2003 - February 2010: Royal Monetary Authority of Bhutan, Thimphu. August 1993 - 2002: Calculated on the basis of the buying and selling rates of the Royal Monetary Authority of Bhutan, Thimphu.",
