"",BBK01.OEBM01M,BBK01.OEBM01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:17,
2002-01,0.602,
2002-04,0.686,
2002-07,0.554,
2002-10,0.548,
2003-01,0.426,
2003-04,0.460,
2003-07,0.441,
2003-10,0.461,
2004-01,0.416,
2004-04,0.445,
2004-07,0.411,
2004-10,0.444,
2005-01,0.435,
2005-04,0.697,
2005-07,0.519,
2005-10,0.508,
2006-01,0.461,
2006-04,0.516,
2006-07,0.645,
2006-10,0.686,
2007-01,0.543,
2007-04,0.689,
2007-07,0.795,
2007-10,0.684,
2008-01,0.589,
2008-04,0.669,
2008-07,0.468,
2008-10,0.922,
2009-01,0.984,
2009-04,1.200,
2009-07,1.301,
2009-10,1.016,
2010-01,1.212,
2010-04,1.347,
2010-07,1.269,
2010-10,1.398,
2011-01,1.136,
2011-04,0.987,
2011-07,1.197,
2011-10,1.380,
2012-01,1.561,
2012-04,1.739,
2012-07,2.007,
2012-10,2.149,
2013-01,2.714,
2013-04,2.782,
2013-07,2.944,
2013-10,2.474,
2014-01,2.360,
2014-04,2.754,
2014-07,3.259,
