"",BBK01.TVP310,BBK01.TVP310_FLAGS
"","MFI lending, total / Annual percentage change",
unit,% (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:38:08,
1998-09,7.55,
1998-10,7.45,
1998-11,7.45,
1998-12,7.44,
1999-01,7.99,
1999-02,7.35,
1999-03,7.73,
1999-04,7.19,
1999-05,7.75,
1999-06,7.93,
1999-07,7.78,
1999-08,7.76,
1999-09,7.85,
1999-10,8.13,
1999-11,8.42,
1999-12,7.94,
2000-01,7.40,
2000-02,7.97,
2000-03,7.88,
2000-04,8.15,
2000-05,7.66,
2000-06,6.67,
2000-07,6.64,
2000-08,6.62,
2000-09,6.75,
2000-10,6.12,
2000-11,5.49,
2000-12,5.95,
2001-01,5.74,
2001-02,5.39,
2001-03,5.28,
2001-04,5.45,
2001-05,5.33,
2001-06,5.67,
2001-07,5.78,
2001-08,5.57,
2001-09,5.22,
2001-10,5.13,
2001-11,5.40,
2001-12,5.21,
2002-01,5.18,
2002-02,5.09,
2002-03,4.85,
2002-04,4.41,
2002-05,4.50,
2002-06,4.42,
2002-07,4.06,
2002-08,4.19,
2002-09,4.31,
2002-10,4.35,
2002-11,3.94,
2002-12,4.05,
2003-01,4.23,
2003-02,4.45,
2003-03,4.20,
2003-04,4.80,
2003-05,5.04,
2003-06,4.79,
2003-07,5.39,
2003-08,5.45,
2003-09,5.44,
2003-10,5.66,
2003-11,6.19,
2003-12,5.87,
2004-01,5.70,
2004-02,5.61,
2004-03,5.87,
2004-04,5.87,
2004-05,5.89,
2004-06,6.37,
2004-07,6.24,
2004-08,6.08,
2004-09,6.01,
2004-10,6.04,
2004-11,5.97,
2004-12,6.02,
2005-01,6.53,
2005-02,6.65,
2005-03,6.32,
2005-04,6.70,
2005-05,6.51,
2005-06,6.70,
2005-07,6.94,
2005-08,7.11,
2005-09,7.48,
2005-10,7.89,
2005-11,8.30,
2005-12,8.42,
2006-01,8.61,
2006-02,8.85,
2006-03,9.64,
2006-04,9.77,
2006-05,9.62,
2006-06,9.32,
2006-07,9.40,
2006-08,9.28,
2006-09,9.47,
2006-10,9.18,
2006-11,8.79,
2006-12,8.34,
2007-01,8.17,
2007-02,7.86,
2007-03,7.83,
2007-04,7.60,
2007-05,8.23,
2007-06,8.60,
2007-07,8.76,
2007-08,8.86,
2007-09,8.76,
2007-10,9.43,
2007-11,9.33,
2007-12,10.43,
2008-01,10.42,
2008-02,10.36,
2008-03,10.33,
2008-04,10.53,
2008-05,10.21,
2008-06,9.81,
2008-07,9.81,
2008-08,10.00,
2008-09,9.27,
2008-10,8.03,
2008-11,8.03,
2008-12,7.10,
2009-01,6.85,
2009-02,6.55,
2009-03,5.77,
2009-04,4.93,
2009-05,4.46,
2009-06,4.72,
2009-07,3.79,
2009-08,3.28,
2009-09,3.48,
2009-10,3.34,
2009-11,2.83,
2009-12,2.50,
2010-01,1.78,
2010-02,1.76,
2010-03,1.76,
2010-04,1.79,
2010-05,1.69,
2010-06,1.52,
2010-07,1.95,
2010-08,2.32,
2010-09,2.23,
2010-10,3.21,
2010-11,3.94,
2010-12,3.47,
2011-01,3.81,
2011-02,3.83,
2011-03,3.22,
2011-04,3.18,
2011-05,3.09,
2011-06,2.65,
2011-07,2.37,
2011-08,2.40,
2011-09,2.33,
2011-10,1.61,
2011-11,0.81,
2011-12,0.94,
2012-01,1.42,
2012-02,1.36,
2012-03,1.80,
2012-04,1.39,
2012-05,1.48,
2012-06,1.47,
2012-07,1.32,
2012-08,0.80,
2012-09,0.91,
2012-10,0.66,
2012-11,0.58,
2012-12,0.70,
2013-01,0.27,
2013-02,0.19,
2013-03,0.29,
2013-04,0.30,
2013-05,0.22,
2013-06,0.11,
2013-07,-0.42,
2013-08,-0.28,
2013-09,-0.67,
2013-10,-0.91,
2013-11,-1.11,
2013-12,-1.77,
2014-01,-1.83,
2014-02,-1.87,
2014-03,-2.13,
2014-04,-2.26,
2014-05,-2.45,
2014-06,-2.35,
2014-07,-1.80,
2014-08,-1.76,
2014-09,-1.57,
2014-10,-1.28,
2014-11,-0.95,
2014-12,-0.09,
