"",BBK01.OELK04P,BBK01.OELK04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:33,
2002-01,0.133,
2002-04,0.120,
2002-07,0.111,
2002-10,0.103,
2003-01,0.102,
2003-04,0.101,
2003-07,0.102,
2003-10,0.102,
2004-01,0.104,
2004-04,0.102,
2004-07,0.108,
2004-10,0.104,
2005-01,0.097,
2005-04,0.094,
2005-07,0.094,
2005-10,0.092,
2006-01,0.093,
2006-04,0.092,
2006-07,0.092,
2006-10,0.089,
2007-01,0.096,
2007-04,0.098,
2007-07,0.105,
2007-10,0.125,
2008-01,0.129,
2008-04,0.143,
2008-07,0.148,
2008-10,0.174,
2009-01,0.158,
2009-04,0.143,
2009-07,0.154,
2009-10,0.140,
2010-01,0.132,
2010-04,0.116,
2010-07,0.107,
2010-10,0.111,
2011-01,0.107,
2011-04,0.124,
2011-07,0.120,
2011-10,0.125,
2012-01,0.131,
2012-04,0.128,
2012-07,0.127,
2012-10,0.128,
2013-01,0.123,
2013-04,0.112,
2013-07,0.107,
2013-10,0.106,
2014-01,0.112,
2014-04,0.111,
2014-07,0.112,
