"",BBK01.OEAC04O,BBK01.OEAC04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:53,
2002-01,3.201,
2002-04,3.140,
2002-07,3.059,
2002-10,2.962,
2003-01,2.943,
2003-04,2.929,
2003-07,2.701,
2003-10,2.645,
2004-01,2.686,
2004-04,2.706,
2004-07,2.699,
2004-10,2.628,
2005-01,2.688,
2005-04,2.664,
2005-07,2.594,
2005-10,2.520,
2006-01,2.617,
2006-04,2.585,
2006-07,2.562,
2006-10,2.493,
2007-01,2.521,
2007-04,2.524,
2007-07,2.511,
2007-10,2.418,
2008-01,2.525,
2008-04,2.499,
2008-07,2.468,
2008-10,2.579,
2009-01,3.052,
2009-04,3.101,
2009-07,3.073,
2009-10,3.010,
2010-01,3.220,
2010-04,3.190,
2010-07,3.238,
2010-10,3.146,
2011-01,3.156,
2011-04,3.101,
2011-07,3.161,
2011-10,3.083,
2012-01,3.140,
2012-04,3.231,
2012-07,3.177,
2012-10,3.133,
2013-01,3.187,
2013-04,3.196,
2013-07,3.216,
2013-10,3.119,
2014-01,3.236,
2014-04,3.203,
2014-07,3.240,
