"",BBK01.PQB353,BBK01.PQB353_FLAGS
"",Lending to domestic enterprises and resident individuals / Long-term / Commercial banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:20:07,
1958-10,2.458,
1959-01,-,Nothing exists
1959-04,2.589,
1959-07,-,Nothing exists
1959-10,2.847,
1960-01,-,Nothing exists
1960-04,2.979,
1960-07,-,Nothing exists
1960-10,3.122,
1961-01,-,Nothing exists
1961-04,3.287,
1961-07,-,Nothing exists
1961-10,3.638,
1962-01,-,Nothing exists
1962-04,3.856,
1962-07,-,Nothing exists
1962-10,4.104,
1963-01,-,Nothing exists
1963-04,4.271,
1963-07,-,Nothing exists
1963-10,4.651,
1964-01,-,Nothing exists
1964-04,4.763,
1964-07,-,Nothing exists
1964-10,5.218,
1965-01,5.380,
1965-04,5.472,
1965-07,5.646,
1965-10,5.577,
1966-01,5.668,
1966-04,5.703,
1966-07,5.815,
1966-10,5.909,
1967-01,6.119,
1967-04,6.250,
1967-07,6.506,
1967-10,6.918,
1968-01,7.271,
1968-04,7.538,
1968-07,8.029,
1968-10,9.058,
1969-01,9.568,
1969-04,10.318,
1969-07,10.934,
1969-10,12.114,
1970-01,12.784,
1970-04,13.307,
1970-07,13.688,
1970-10,14.341,
1971-01,14.481,
1971-04,15.184,
1971-07,16.306,
1971-10,17.460,
1972-01,18.049,
1972-04,18.786,
1972-07,19.701,
1972-10,21.292,
1973-01,22.271,
1973-04,22.908,
1973-07,23.286,
1973-10,23.855,
1974-01,23.934,
1974-04,24.018,
1974-07,24.538,
1974-10,25.242,
1975-01,25.612,
1975-04,26.313,
1975-07,27.782,
1975-10,29.584,
1976-01,30.139,
1976-04,31.251,
1976-07,32.661,
1976-10,34.357,
1977-01,34.868,
1977-04,35.886,
1977-07,37.704,
1977-10,39.530,
1978-01,40.052,
1978-04,41.015,
1978-07,43.044,
1978-10,45.448,
1979-01,47.009,
1979-04,49.662,
1979-07,51.486,
1979-10,53.609,
1980-01,53.867,
1980-04,54.794,
1980-07,55.114,
1980-10,56.633,
1981-01,56.747,
1981-04,56.993,
1981-07,56.245,
1981-10,56.289,
1982-01,55.050,
1982-04,54.738,
1982-07,54.923,
1982-10,56.211,
1983-01,55.662,
1983-04,57.375,
1983-07,58.301,
1983-10,59.937,
1984-01,59.825,
1984-04,60.837,
1984-07,62.205,
1984-10,64.812,
1985-01,66.046,
1985-04,67.701,
1985-07,69.550,
1985-10,73.510,
1986-01,74.414,
1986-04,77.549,
1986-07,80.880,
1986-10,91.655,
1987-01,93.174,
1987-04,95.711,
1987-07,99.507,
1987-10,103.858,
1988-01,105.672,
1988-04,108.519,
1988-07,112.325,
1988-10,116.501,
1989-01,119.496,
1989-04,122.770,
1989-07,126.250,
1989-10,132.221,
1990-01,135.135,
1990-04,177.675,
1990-07,179.448,
1990-10,184.452,
1991-01,188.370,
1991-04,193.248,
1991-07,198.374,
1991-10,202.131,
1992-01,208.035,
1992-04,215.079,
1992-07,217.542,
1992-10,219.881,
1993-01,194.282,
1993-04,200.345,
1993-07,208.134,
1993-10,220.505,
1994-01,226.295,
1994-04,233.640,
1994-07,242.115,
1994-10,249.324,
1995-01,252.322,
1995-04,262.004,
1995-07,266.924,
1995-10,277.920,
1996-01,284.308,
1996-04,289.296,
1996-07,295.400,
1996-10,308.865,
1997-01,313.554,
1997-04,318.787,
1997-07,324.374,
1997-10,332.298,
1998-01,335.944,
1998-04,340.143,
1998-07,344.797,
1998-10,357.474,
1999-01,329.136,
1999-04,332.950,
1999-07,340.533,
1999-10,349.192,
2000-01,349.683,
2000-04,367.790,
2000-07,371.213,
2000-10,373.341,
2001-01,374.391,
2001-04,376.130,
2001-07,378.007,
2001-10,378.700,
2002-01,379.853,
2002-04,382.045,
2002-07,382.989,
2002-10,383.421,
2003-01,380.552,
2003-04,380.167,
2003-07,376.630,
2003-10,374.010,
2004-01,373.095,
2004-04,374.557,
2004-07,378.639,
2004-10,375.615,
2005-01,376.499,
2005-04,379.279,
2005-07,372.804,
2005-10,381.240,
2006-01,383.392,
2006-04,387.591,
2006-07,388.596,
2006-10,389.587,
2007-01,393.936,
2007-04,393.454,
2007-07,397.152,
2007-10,404.443,
2008-01,405.394,
2008-04,409.042,
2008-07,411.011,
2008-10,411.840,
2009-01,409.351,
2009-04,410.035,
2009-07,409.873,
2009-10,412.215,
2010-01,411.301,
2010-04,410.762,
2010-07,413.353,
2010-10,414.569,
2011-01,413.718,
2011-04,413.942,
2011-07,416.014,
2011-10,418.046,
2012-01,418.883,
2012-04,424.391,
2012-07,425.827,
2012-10,423.559,
2013-01,424.542,
2013-04,426.284,
2013-07,428.795,
2013-10,430.717,
2014-01,431.517,
2014-04,435.100,
2014-07,439.561,
2014-10,442.488,
