"",BBFN1.M.DE.N.1.L.UA.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.UA.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Ukraine,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:18:56,
1995-01,0.255,
1995-02,0.273,
1995-03,0.275,
1995-04,0.287,
1995-05,0.293,
1995-06,0.308,
1995-07,0.311,
1995-08,0.314,
1995-09,0.300,
1995-10,0.351,
1995-11,0.351,
1995-12,0.344,
1996-01,0.351,
1996-02,0.361,
1996-03,0.344,
1996-04,0.343,
1996-05,0.365,
1996-06,0.342,
1996-07,0.365,
1996-08,0.360,
1996-09,0.258,
1996-10,0.213,
1996-11,0.213,
1996-12,0.234,
1997-01,0.235,
1997-02,0.224,
1997-03,0.240,
1997-04,0.256,
1997-05,0.271,
1997-06,0.290,
1997-07,0.299,
1997-08,0.248,
1997-09,0.264,
1997-10,0.256,
1997-11,0.255,
1997-12,0.270,
1998-01,0.289,
1998-02,0.298,
1998-03,0.321,
1998-04,0.298,
1998-05,0.306,
1998-06,0.286,
1998-07,0.273,
1998-08,0.274,
1998-09,0.179,
1998-10,0.176,
1998-11,0.172,
1998-12,0.128,
1999-01,0.130,
1999-02,0.130,
1999-03,0.129,
1999-04,0.123,
1999-05,0.128,
1999-06,0.125,
1999-07,0.131,
1999-08,0.127,
1999-09,0.127,
1999-10,0.136,
1999-11,0.134,
1999-12,0.131,
2000-01,0.142,
2000-02,0.133,
2000-03,0.128,
2000-04,0.133,
2000-05,0.122,
2000-06,0.137,
2000-07,0.134,
2000-08,0.146,
2000-09,0.143,
2000-10,0.152,
2000-11,0.145,
2000-12,0.149,
2001-01,0.150,
2001-02,0.160,
2001-03,0.168,
2001-04,0.185,
2001-05,0.184,
2001-06,0.188,
2001-07,0.151,
2001-08,0.114,
2001-09,0.123,
2001-10,0.124,
2001-11,0.147,
2001-12,0.135,
2002-01,0.127,
2002-02,0.147,
2002-03,0.144,
2002-04,0.148,
2002-05,0.164,
2002-06,0.151,
2002-07,0.156,
2002-08,0.164,
2002-09,0.157,
2002-10,0.163,
2002-11,0.165,
2002-12,0.155,
2003-01,0.164,
2003-02,0.159,
2003-03,0.153,
2003-04,0.159,
2003-05,0.160,
2003-06,0.170,
2003-07,0.172,
2003-08,0.174,
2003-09,0.180,
2003-10,0.202,
2003-11,0.179,
2003-12,0.174,
2004-01,0.205,
2004-02,0.183,
2004-03,0.192,
2004-04,0.202,
2004-05,0.207,
2004-06,0.207,
2004-07,0.211,
2004-08,0.223,
2004-09,0.207,
2004-10,0.216,
2004-11,0.192,
2004-12,0.193,
2005-01,0.222,
2005-02,0.197,
2005-03,0.247,
2005-04,0.246,
2005-05,0.249,
2005-06,0.267,
2005-07,0.235,
2005-08,0.242,
2005-09,0.246,
2005-10,0.221,
2005-11,0.342,
2005-12,0.395,
2006-01,0.386,
2006-02,0.382,
2006-03,0.394,
2006-04,0.269,
2006-05,0.279,
2006-06,0.249,
2006-07,0.277,
2006-08,0.283,
2006-09,0.313,
2006-10,0.308,
2006-11,0.299,
2006-12,0.331,
2007-01,0.319,
2007-02,0.306,
2007-03,0.298,
2007-04,0.350,
2007-05,0.357,
2007-06,0.349,
2007-07,0.334,
2007-08,0.350,
2007-09,0.373,
2007-10,0.401,
2007-11,0.403,
2007-12,0.440,
2008-01,0.411,
2008-02,0.427,
2008-03,0.478,
2008-04,0.509,
2008-05,0.532,
2008-06,0.533,
2008-07,0.528,
2008-08,0.551,
2008-09,0.574,
2008-10,0.570,
2008-11,0.528,
2008-12,0.447,
2009-01,0.434,
2009-02,0.456,
2009-03,0.482,
2009-04,0.456,
2009-05,0.459,
2009-06,0.455,
2009-07,0.481,
2009-08,0.523,
2009-09,0.529,
2009-10,0.488,
2009-11,0.494,
2009-12,0.455,
2010-01,0.430,
2010-02,0.479,
2010-03,0.472,
2010-04,0.492,
2010-05,0.508,
2010-06,0.521,
2010-07,0.512,
2010-08,0.425,
2010-09,0.448,
2010-10,0.452,
2010-11,0.443,
2010-12,0.457,
2011-01,0.445,
2011-02,0.466,
2011-03,0.476,
2011-04,0.497,
2011-05,0.496,
2011-06,0.524,
2011-07,0.520,
2011-08,0.524,
2011-09,0.528,
2011-10,0.486,
2011-11,0.484,
2011-12,0.418,
2012-01,0.394,
2012-02,0.370,
2012-03,0.384,
2012-04,0.375,
2012-05,0.381,
2012-06,0.326,
2012-07,0.302,
2012-08,0.335,
2012-09,0.332,
2012-10,0.308,
2012-11,0.276,
2012-12,0.281,
2013-01,0.277,
2013-02,0.288,
2013-03,0.302,
2013-04,0.281,
2013-05,0.275,
2013-06,0.277,
2013-07,0.247,
2013-08,0.243,
2013-09,0.226,
2013-10,0.272,
2013-11,0.272,
2013-12,0.271,
2014-01,0.229,
2014-02,0.238,
2014-03,0.231,
2014-04,0.228,
2014-05,0.239,
2014-06,0.216,
2014-07,0.232,
2014-08,0.260,
2014-09,0.302,
2014-10,0.349,
2014-11,0.357,
2014-12,0.453,
