"",BBK01.OEYB16K,BBK01.OEYB16K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:01,
2002-01,8.777,
2002-04,8.562,
2002-07,8.993,
2002-10,8.564,
2003-01,8.335,
2003-04,6.791,
2003-07,6.756,
2003-10,6.592,
2004-01,5.870,
2004-04,7.576,
2004-07,7.614,
2004-10,7.713,
2005-01,7.621,
2005-04,7.482,
2005-07,7.416,
2005-10,7.024,
2006-01,6.804,
2006-04,6.593,
2006-07,6.497,
2006-10,6.332,
2007-01,5.751,
2007-04,5.587,
2007-07,5.399,
2007-10,5.320,
2008-01,5.528,
2008-04,5.495,
2008-07,5.335,
2008-10,5.196,
2009-01,5.010,
2009-04,4.951,
2009-07,4.872,
2009-10,4.702,
2010-01,4.603,
2010-04,4.543,
2010-07,4.583,
2010-10,4.526,
2011-01,4.464,
2011-04,4.327,
2011-07,4.326,
2011-10,4.199,
2012-01,4.080,
2012-04,4.053,
2012-07,4.018,
2012-10,3.955,
2013-01,3.943,
2013-04,3.839,
2013-07,3.839,
2013-10,3.629,
2014-01,3.538,
2014-04,3.437,
2014-07,3.452,
