"",BBK01.OECI03J,BBK01.OECI03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:33,
2002-01,0.743,
2002-04,0.726,
2002-07,0.639,
2002-10,0.602,
2003-01,0.570,
2003-04,0.579,
2003-07,0.497,
2003-10,0.418,
2004-01,0.406,
2004-04,0.293,
2004-07,0.314,
2004-10,0.378,
2005-01,0.396,
2005-04,0.356,
2005-07,0.345,
2005-10,0.550,
2006-01,0.491,
2006-04,0.409,
2006-07,0.455,
2006-10,0.472,
2007-01,0.432,
2007-04,0.449,
2007-07,0.727,
2007-10,0.939,
2008-01,0.910,
2008-04,1.013,
2008-07,1.170,
2008-10,1.232,
2009-01,1.132,
2009-04,1.007,
2009-07,0.926,
2009-10,0.926,
2010-01,0.805,
2010-04,0.694,
2010-07,0.671,
2010-10,0.696,
2011-01,0.760,
2011-04,0.668,
2011-07,0.739,
2011-10,0.650,
2012-01,0.651,
2012-04,5.676,
2012-07,5.309,
2012-10,4.893,
2013-01,4.642,
2013-04,3.042,
2013-07,2.120,
2013-10,1.980,
2014-01,0.615,
2014-04,0.585,
2014-07,0.482,
