"",BBFB1.Q.N.DE.AT.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AT.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:28,
1991-01,-378.479,
1991-04,783.491,
1991-07,388.744,
1991-10,759.020,
1992-01,-727.740,
1992-04,643.298,
1992-07,233.074,
1992-10,628.987,
1993-01,-708.510,
1993-04,430.674,
1993-07,-263.677,
1993-10,328.664,
1994-01,-1030.948,
1994-04,605.395,
1994-07,-260.066,
1994-10,453.491,
1995-01,-50.623,
1995-04,808.360,
1995-07,720.601,
1995-10,1109.950,
1996-01,307.695,
1996-04,1324.341,
1996-07,1114.978,
1996-10,1514.373,
1997-01,-71.442,
1997-04,1221.709,
1997-07,856.053,
1997-10,1510.607,
1998-01,25.808,
1998-04,1456.404,
1998-07,1033.232,
1998-10,1541.100,
1999-01,14.164,
1999-04,1473.982,
1999-07,1258.062,
1999-10,2042.840,
2000-01,666.970,
2000-04,2342.542,
2000-07,1703.555,
2000-10,2799.583,
2001-01,1172.786,
2001-04,1775.679,
2001-07,1357.671,
2001-10,2190.745,
2002-01,484.546,
2002-04,1873.711,
2002-07,1858.209,
2002-10,2105.483,
2003-01,784.953,
2003-04,2231.420,
2003-07,2063.939,
2003-10,2985.800,
2004-01,1811.498,
2004-04,2654.004,
2004-07,2728.160,
2004-10,3885.508,
2005-01,2473.276,
2005-04,3601.135,
2005-07,3355.365,
2005-10,4185.569,
2006-01,3700.166,
2006-04,4646.113,
2006-07,4369.872,
2006-10,4802.748,
2007-01,4103.890,
2007-04,4929.905,
2007-07,4156.928,
2007-10,4528.959,
2008-01,4499.662,
2008-04,4689.084,
2008-07,3387.539,
2008-10,4457.661,
2009-01,3138.121,
2009-04,4191.466,
2009-07,4207.877,
2009-10,4207.189,
2010-01,3371.194,
2010-04,4112.811,
2010-07,3801.098,
2010-10,4495.973,
2011-01,4169.959,
2011-04,4869.522,
2011-07,4452.783,
2011-10,4847.961,
2012-01,4530.624,
2012-04,4427.449,
2012-07,3979.735,
2012-10,4247.920,
2013-01,3473.645,
2013-04,4617.730,
2013-07,4249.227,
2013-10,4584.483,
2014-01,3728.844,Provisional value
2014-04,4349.801,Provisional value
2014-07,4170.953,Provisional value
