"",BBK01.WXI067,BBK01.WXI067_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:43,
2009-09,48,
2009-10,28,
2009-11,23,
2009-12,49,
2010-01,57,
2010-02,28,
2010-03,30,
2010-04,93,
2010-05,47,
2010-06,72,
2010-07,70,
2010-08,46,
2010-09,546,
2010-10,24,
2010-11,32,
2010-12,91,
2011-01,102,
2011-02,143,
2011-03,113,
2011-04,146,
2011-05,64,
2011-06,118,
2011-07,84,
2011-08,114,
2011-09,109,
2011-10,129,
2011-11,81,
2011-12,119,
2012-01,124,
2012-02,76,
2012-03,65,
2012-04,59,
2012-05,85,
2012-06,48,
2012-07,231,
2012-08,29,
2012-09,33,
2012-10,65,
2012-11,77,
2012-12,55,
2013-01,54,
2013-02,47,
2013-03,54,
2013-04,51,
2013-05,54,
2013-06,176,
2013-07,67,
2013-08,62,
2013-09,53,
2013-10,71,
2013-11,99,
2013-12,131,
2014-01,35,
2014-02,46,
2014-03,72,
2014-04,29,
2014-05,39,
2014-06,43,
2014-07,37,
2014-08,66,
2014-09,80,
2014-10,43,
2014-11,60,
