"",BBFB1.Q.N.DE.B5.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B5.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / EU28 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:26,
1991-01,-4201.679,
1991-04,-4662.107,
1991-07,-6591.389,
1991-10,-3661.059,
1992-01,-4909.313,
1992-04,-5672.146,
1992-07,-7722.868,
1992-10,-4396.184,
1993-01,-4754.791,
1993-04,-6205.701,
1993-07,-8184.031,
1993-10,-4545.778,
1994-01,-5011.601,
1994-04,-6924.252,
1994-07,-9359.757,
1994-10,-5487.573,
1995-01,-5700.594,
1995-04,-6820.679,
1995-07,-9082.845,
1995-10,-4952.873,
1996-01,-5648.382,
1996-04,-7357.617,
1996-07,-9844.859,
1996-10,-5639.715,
1997-01,-5899.296,
1997-04,-7552.373,
1997-07,-10080.959,
1997-10,-5858.219,
1998-01,-5561.166,
1998-04,-7407.205,
1998-07,-10266.489,
1998-10,-6125.820,
1999-01,-6942.451,
1999-04,-8828.774,
1999-07,-12030.632,
1999-10,-8149.503,
2000-01,-7546.079,
2000-04,-9549.706,
2000-07,-13705.372,
2000-10,-8856.226,
2001-01,-9504.100,
2001-04,-10604.652,
2001-07,-14120.545,
2001-10,-7276.216,
2002-01,-7893.022,
2002-04,-8526.073,
2002-07,-11791.690,
2002-10,-5097.172,
2003-01,-7397.445,
2003-04,-9465.497,
2003-07,-14692.084,
2003-10,-5850.683,
2004-01,-6456.076,
2004-04,-8161.553,
2004-07,-11202.560,
2004-10,-4363.172,
2005-01,-6280.640,
2005-04,-7443.572,
2005-07,-12034.139,
2005-10,-4507.825,
2006-01,-5118.905,
2006-04,-5974.514,
2006-07,-10312.671,
2006-10,-2436.602,
2007-01,-5790.557,
2007-04,-7126.904,
2007-07,-11930.582,
2007-10,-4116.014,
2008-01,-5166.065,
2008-04,-7041.052,
2008-07,-11668.781,
2008-10,-3260.602,
2009-01,-3879.245,
2009-04,-5622.176,
2009-07,-10007.801,
2009-10,-2220.271,
2010-01,-4203.794,
2010-04,-7040.327,
2010-07,-10639.536,
2010-10,-4468.715,
2011-01,-5496.327,
2011-04,-8283.817,
2011-07,-12237.698,
2011-10,-3917.589,
2012-01,-5328.227,
2012-04,-7845.113,
2012-07,-12724.741,
2012-10,-5313.581,
2013-01,-8137.927,
2013-04,-10274.909,
2013-07,-15110.919,
2013-10,-6572.348,
2014-01,-7063.415,Provisional value
2014-04,-9507.913,Provisional value
2014-07,-15675.774,Provisional value
