"",BBK01.OEYB09L,BBK01.OEYB09L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:08,
2002-01,63.692,
2002-04,63.502,
2002-07,64.490,
2002-10,64.630,
2003-01,69.015,
2003-04,70.555,
2003-07,70.757,
2003-10,73.500,
2004-01,72.755,
2004-04,73.781,
2004-07,73.975,
2004-10,76.342,
2005-01,75.439,
2005-04,75.090,
2005-07,76.835,
2005-10,74.037,
2006-01,73.451,
2006-04,72.827,
2006-07,70.392,
2006-10,70.191,
2007-01,69.903,
2007-04,68.207,
2007-07,69.241,
2007-10,73.164,
2008-01,75.613,
2008-04,72.021,
2008-07,75.465,
2008-10,75.163,
2009-01,74.312,
2009-04,73.354,
2009-07,65.892,
2009-10,64.042,
2010-01,63.588,
2010-04,62.417,
2010-07,61.688,
2010-10,60.143,
2011-01,59.369,
2011-04,56.917,
2011-07,58.077,
2011-10,54.740,
2012-01,55.147,
2012-04,52.903,
2012-07,53.241,
2012-10,50.580,
2013-01,49.228,
2013-04,48.175,
2013-07,48.547,
2013-10,47.702,
2014-01,46.442,
2014-04,44.673,
2014-07,42.876,
