"",BBK01.OEAF10H,BBK01.OEAF10H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:57,
2002-01,0.335,
2002-04,0.320,
2002-07,0.305,
2002-10,0.305,
2003-01,0.319,
2003-04,0.318,
2003-07,0.357,
2003-10,0.353,
2004-01,0.342,
2004-04,0.323,
2004-07,0.317,
2004-10,0.307,
2005-01,0.312,
2005-04,0.307,
2005-07,0.285,
2005-10,0.254,
2006-01,0.260,
2006-04,0.262,
2006-07,0.278,
2006-10,0.274,
2007-01,0.348,
2007-04,0.345,
2007-07,0.335,
2007-10,0.293,
2008-01,0.297,
2008-04,0.297,
2008-07,0.291,
2008-10,0.295,
2009-01,0.286,
2009-04,0.273,
2009-07,0.272,
2009-10,0.269,
2010-01,0.269,
2010-04,0.241,
2010-07,0.283,
2010-10,0.275,
2011-01,0.293,
2011-04,0.278,
2011-07,0.279,
2011-10,0.275,
2012-01,0.290,
2012-04,0.288,
2012-07,0.284,
2012-10,0.280,
2013-01,0.294,
2013-04,0.286,
2013-07,0.283,
2013-10,0.283,
2014-01,0.279,
2014-04,0.285,
2014-07,0.340,
