"",BBK01.OEBB09M,BBK01.OEBB09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:27,
2002-01,14.933,
2002-04,14.526,
2002-07,13.409,
2002-10,13.529,
2003-01,13.837,
2003-04,13.530,
2003-07,13.104,
2003-10,12.591,
2004-01,12.732,
2004-04,12.987,
2004-07,12.924,
2004-10,12.425,
2005-01,12.936,
2005-04,11.280,
2005-07,11.142,
2005-10,10.829,
2006-01,11.261,
2006-04,11.092,
2006-07,11.205,
2006-10,11.575,
2007-01,11.241,
2007-04,11.611,
2007-07,11.286,
2007-10,12.580,
2008-01,12.940,
2008-04,13.047,
2008-07,12.821,
2008-10,14.157,
2009-01,14.514,
2009-04,14.397,
2009-07,12.656,
2009-10,12.722,
2010-01,12.809,
2010-04,12.099,
2010-07,12.382,
2010-10,12.918,
2011-01,13.081,
2011-04,13.303,
2011-07,13.441,
2011-10,13.638,
2012-01,14.009,
2012-04,14.389,
2012-07,14.380,
2012-10,14.300,
2013-01,14.585,
2013-04,14.963,
2013-07,15.053,
2013-10,14.458,
2014-01,14.220,
2014-04,14.518,
2014-07,15.244,
