"",BBFB1.Q.N.DE.SI.S1.S1.T.D.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.SI.S1.S1.T.D.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / Slovenia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:41,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,124.291,
1992-07,259.786,
1992-10,285.988,
1993-01,251.504,
1993-04,269.770,
1993-07,249.068,
1993-10,303.257,
1994-01,289.683,
1994-04,315.522,
1994-07,306.916,
1994-10,345.579,
1995-01,358.340,
1995-04,352.150,
1995-07,340.874,
1995-10,380.370,
1996-01,342.784,
1996-04,347.478,
1996-07,367.880,
1996-10,402.556,
1997-01,375.106,
1997-04,425.540,
1997-07,392.109,
1997-10,455.584,
1998-01,435.154,
1998-04,453.510,
1998-07,412.709,
1998-10,470.640,
1999-01,482.239,
1999-04,516.925,
1999-07,500.659,
1999-10,527.159,
2000-01,535.010,
2000-04,556.342,
2000-07,508.490,
2000-10,529.240,
2001-01,533.762,
2001-04,549.157,
2001-07,528.853,
2001-10,575.604,
2002-01,548.706,
2002-04,572.292,
2002-07,565.508,
2002-10,583.727,
2003-01,553.027,
2003-04,538.615,
2003-07,476.465,
2003-10,612.772,
2004-01,548.256,
2004-04,577.067,
2004-07,515.937,
2004-10,584.317,
2005-01,538.802,
2005-04,581.841,
2005-07,565.901,
2005-10,659.657,
2006-01,711.482,
2006-04,679.677,
2006-07,726.784,
2006-10,768.427,
2007-01,831.142,
2007-04,876.487,
2007-07,824.977,
2007-10,897.012,
2008-01,929.265,
2008-04,939.758,
2008-07,897.596,
2008-10,780.187,
2009-01,723.193,
2009-04,689.657,
2009-07,692.863,
2009-10,755.071,
2010-01,796.522,
2010-04,903.328,
2010-07,891.430,
2010-10,978.843,
2011-01,1030.267,
2011-04,1113.769,
2011-07,1069.347,
2011-10,1122.362,
2012-01,1146.524,
2012-04,1157.053,
2012-07,1105.923,
2012-10,1082.784,
2013-01,1102.342,
2013-04,1129.791,
2013-07,1100.896,
2013-10,1176.426,
2014-01,1212.791,Provisional value
2014-04,1217.996,Provisional value
2014-07,1182.538,Provisional value
