"",BBK01.OEAB06J,BBK01.OEAB06J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:49,
2002-01,3.959,
2002-04,4.212,
2002-07,4.258,
2002-10,3.943,
2003-01,3.845,
2003-04,3.729,
2003-07,3.799,
2003-10,3.628,
2004-01,3.300,
2004-04,3.426,
2004-07,3.241,
2004-10,3.676,
2005-01,3.221,
2005-04,3.098,
2005-07,3.086,
2005-10,2.999,
2006-01,3.073,
2006-04,3.078,
2006-07,3.010,
2006-10,3.051,
2007-01,3.090,
2007-04,3.055,
2007-07,2.984,
2007-10,3.093,
2008-01,3.159,
2008-04,3.277,
2008-07,3.429,
2008-10,3.229,
2009-01,3.731,
2009-04,3.348,
2009-07,3.430,
2009-10,2.948,
2010-01,3.023,
2010-04,3.237,
2010-07,3.149,
2010-10,3.347,
2011-01,3.417,
2011-04,3.545,
2011-07,3.591,
2011-10,3.588,
2012-01,3.959,
2012-04,4.152,
2012-07,4.394,
2012-10,4.224,
2013-01,4.366,
2013-04,4.025,
2013-07,4.151,
2013-10,4.132,
2014-01,4.153,
2014-04,4.018,
2014-07,4.110,
